index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0203.smt2,,,3,7,7,2,13,13,,5,,5,120,13,101,34,157,1115,6,296,,63,13,60,,,236,543,289,67,33,60,5,,7,,762.64,490.51,sat,36.05,2.75,0.79,1.59,0.18,0.82,30.08,20.22,0.07,0.12,0.00,0.00,0.49,35.56,6.19,29.31,0.78,0.80,15.31,1.54,0.00,1.54,1.83
chc-lia-0204.smt2,,,3,7,7,2,13,13,,5,,5,120,13,101,34,157,1115,6,296,,63,13,60,,,236,543,289,67,33,60,5,,7,,762.64,490.51,sat,35.90,2.72,0.77,1.57,0.18,0.81,30.01,20.17,0.07,0.12,0.00,0.00,0.48,35.39,6.14,29.20,0.76,0.77,15.33,1.51,0.00,1.51,1.81
chc-lia-0205.smt2,,,,5,3,1,8,8,,,,,140,2,119,3,111,783,24,220,,3,16,,,,178,390,209,,,,,,,,561.96,344.39,sat,23.83,1.37,0.54,0.90,0.11,0.25,20.53,13.73,0.01,0.09,0.00,0.00,0.23,23.29,3.97,19.29,0.51,0.41,14.02,0.19,0.00,0.19,
chc-lia-0206.smt2,,,,5,3,1,8,8,,,,,140,2,119,3,111,783,24,220,,3,16,,,,178,390,209,,,,,,,,561.96,344.39,sat,23.25,1.35,0.53,0.89,0.11,0.25,20.00,13.24,0.01,0.09,0.00,0.00,0.22,22.72,3.73,18.97,0.50,0.40,13.79,0.19,0.00,0.19,
chc-lia-0207.smt2,,,,4,5,2,10,10,,,,,130,3,218,10,148,1086,33,267,,11,27,9,,,199,540,256,2,2,2,2,,2,,746.36,476.93,sat,32.22,2.04,0.77,1.30,0.18,0.42,27.69,17.50,,0.15,0.00,0.00,0.30,31.74,5.36,26.34,0.68,0.60,17.78,0.65,0.00,0.65,0.19
chc-lia-0208.smt2,,4,3,7,8,2,13,13,,,,,156,7,77,16,211,1318,10,342,,49,103,38,,,283,680,330,44,22,38,16,,8,,954.16,587.31,sat,54.17,4.28,1.38,2.65,0.24,1.16,46.05,30.68,0.49,0.18,0.00,0.00,0.49,53.48,9.29,44.14,0.93,0.97,26.43,1.78,0.00,1.78,1.58
chc-lia-0209.smt2,,,,4,2,1,7,7,,,,,62,3,23,2,66,283,,121,,2,8,,,,99,145,111,,1,,,,5,,233.12,145.15,sat,5.50,0.34,0.11,0.19,0.03,0.08,4.48,2.84,,0.01,0.00,0.00,0.09,5.30,0.76,4.51,0.22,0.09,3.02,0.08,0.00,0.08,
chc-lia-0210.smt2,,,2,4,,1,9,9,,1,,,139,3,197,,162,1129,3,273,,,,,,,204,541,267,,,,,1,8,,739.44,483.50,sat,34.27,2.08,0.90,1.46,0.14,0.36,29.61,19.62,0.00,0.13,0.00,0.00,0.40,33.70,6.64,27.03,0.78,0.59,19.28,0.41,0.00,0.41,0.02
chc-lia-0211.smt2,,,,4,2,1,8,8,,,,,128,1,113,1,149,601,56,235,,1,2,,,,201,243,228,,,,,,,,571.24,347.61,sat,24.09,1.42,0.60,0.95,0.12,0.25,20.61,13.67,,0.08,0.00,0.00,0.27,23.60,2.80,20.77,0.59,0.48,15.11,0.13,0.00,0.13,
chc-lia-0212.smt2,,4,2,10,10,2,18,18,,,,,204,41,190,43,287,2878,12,537,,107,120,94,,,374,1422,522,103,65,94,19,,30,1,1600.64,1016.35,sat,152.41,11.85,4.35,7.66,0.49,3.14,131.67,93.52,2.10,0.59,0.00,0.00,1.03,151.16,41.03,110.05,1.73,2.57,58.17,6.46,0.00,6.46,4.86
chc-lia-0213.smt2,,,,5,4,1,7,7,,,,,71,2,24,2,72,401,2,134,,3,15,,,,113,242,123,,1,,,,,,265.04,163.38,sat,7.29,0.45,0.17,0.27,0.04,0.10,6.00,3.77,,0.02,0.00,0.00,0.11,7.08,1.27,5.78,0.26,0.13,3.80,0.06,0.00,0.06,
chc-lia-0214.smt2,,,,6,3,1,8,8,,,,,116,,89,2,66,502,6,152,,2,16,,,,111,250,141,,,,,,,,432.72,270.60,sat,13.76,0.89,0.35,0.57,0.08,0.17,11.70,7.36,,0.04,0.00,0.00,0.16,13.43,2.06,11.34,0.34,0.18,8.21,0.08,0.00,0.08,
chc-lia-0215.smt2,,,,6,3,1,8,8,,,,,116,,89,2,66,502,6,152,,2,16,,,,111,250,141,,,,,,,,432.72,270.60,sat,13.86,0.89,0.34,0.57,0.08,0.17,11.80,7.44,,0.04,0.00,0.00,0.16,13.53,2.06,11.45,0.34,0.18,8.31,0.08,0.00,0.08,
chc-lia-0216.smt2,,,,6,3,1,11,11,,,,,80,2,159,4,92,609,45,174,,5,9,4,,,133,213,165,8,2,4,,,3,,453.80,275.94,sat,14.95,1.18,0.40,0.75,0.09,0.26,12.41,8.01,,0.06,0.00,0.00,0.20,14.67,2.54,12.09,0.40,0.23,7.87,0.19,0.00,0.19,0.16
chc-lia-0217.smt2,,,,7,3,1,11,11,,2,,2,200,5,262,2,170,1498,48,317,,2,5,1,,,228,713,306,1,,1,,,12,,965.28,597.29,sat,55.87,2.73,1.10,1.89,0.20,0.48,49.36,33.51,,0.23,0.00,0.00,0.58,55.00,12.05,42.91,1.07,0.85,31.49,0.61,0.00,0.61,0.04
chc-lia-0225.smt2,,,,40,1,,41,41,,,,,141,4,625,,100,4023,3,454,,,,,,,100,2024,415,,,,,,,,335.76,231.73,sat,13.25,1.48,0.13,0.79,0.08,0.50,10.20,6.87,,0.13,0.00,0.00,0.05,13.06,4.88,8.04,0.21,0.52,4.20,0.02,,0.02,
chc-lia-0226.smt2,,,,4,,,6,6,,,,,44,,20,,27,139,,61,,,,,,,49,67,54,,,,,,,,173.52,98.38,sat,3.63,0.43,0.16,0.28,0.02,0.09,2.74,1.83,,0.00,0.00,0.00,0.07,3.42,0.48,2.92,0.14,0.02,1.60,0.00,,0.00,
chc-lia-0227.smt2,,,,4,,,7,7,,,,,80,,35,,66,331,,105,,,,,,,81,174,97,,,,,,,,309.00,183.88,sat,10.32,1.32,0.55,0.96,0.06,0.23,8.08,5.42,,0.02,0.00,0.00,0.14,9.97,1.36,8.59,0.28,0.08,5.37,0.00,,0.00,
chc-lia-0228.smt2,,,,5,,,5,5,,,,,48,,24,,26,159,,62,,,,,,,52,90,56,,,,,,,,167.64,95.38,sat,3.50,0.39,0.14,0.24,0.02,0.09,2.66,1.73,0.01,0.01,0.00,0.00,0.07,3.31,0.49,2.80,0.15,0.03,1.47,0.00,,0.00,
chc-lia-0229.smt2,,,,4,,,8,8,,,,,56,,32,,49,292,5,85,,,,,,,60,157,77,,,,,,,,252.80,149.50,sat,6.55,0.70,0.28,0.48,0.04,0.13,5.19,3.36,,0.01,0.00,0.00,0.11,6.31,1.17,5.11,0.22,0.05,2.89,0.00,,0.00,
chc-lia-0230.smt2,,,,4,,,6,6,,,,,56,,19,,36,161,,73,,,,,,,62,81,66,,,,,,,,215.56,126.63,sat,4.23,0.47,0.18,0.31,0.03,0.10,3.21,2.08,,0.01,0.00,0.00,0.08,3.99,0.51,3.46,0.17,0.03,1.89,0.00,,0.00,
chc-lia-0231.smt2,,,,28,1,,45,45,,91,,3,228,,4695,,434,22426,30,2026,,,,,,,319,11416,2341,,,,,90,,,1802.76,1141.95,sat,443.64,13.67,1.09,8.52,0.72,3.64,409.48,322.83,,2.83,0.00,0.00,0.36,442.19,180.28,261.75,2.46,10.04,174.37,0.44,,0.44,1.83
chc-lia-0232.smt2,,,,23,,,35,35,,,,,169,,1264,,269,7702,12,807,,,,,,,172,3989,771,,,,,,,,628.48,451.17,sat,52.60,4.29,0.35,2.37,0.22,1.43,43.73,32.27,,0.50,0.00,0.00,0.09,52.07,19.30,32.65,0.49,2.02,19.83,0.00,,0.00,
chc-lia-0233.smt2,,,,39,,,46,46,,,,,199,,1623,,218,7810,8,708,,,,,,,158,4204,673,,,,,,,,628.44,441.61,sat,39.17,3.87,0.28,2.10,0.18,1.35,31.34,22.66,,0.45,0.00,0.00,0.08,38.70,12.98,25.56,0.42,1.68,14.94,0.00,,0.00,
chc-lia-0234.smt2,,,10,5,2,,6,6,,4,,14,17,,10,,7,50,,42,,,,,,,25,16,31,,,,,,,,65.44,29.22,sat,0.23,0.03,0.00,0.01,0.00,0.01,0.08,0.01,0.03,0.00,0.01,0.00,0.01,0.16,0.03,0.11,0.01,0.00,0.00,0.00,,0.00,
chc-lia-0235.smt2,,,,,1,,61,60,,2,,,599,3,4988,,,23497,39,1894,,,,,,,184,10425,1849,,,,,2,,,378.38,376.31,timeout,598.56,12.46,1.14,7.85,0.83,3.01,563.63,443.37,0.20,3.23,0.00,0.00,0.32,596.23,285.47,310.52,1.89,11.52,219.01,0.19,,0.19,0.05
chc-lia-0236.smt2,,,,,1,,37,36,,,,,853,3,4712,,,16972,20,2309,,,,,,,328,6516,2273,,,,,,,,402.79,400.64,timeout,597.71,19.01,1.54,11.60,0.95,5.41,500.08,408.48,,4.17,0.00,0.00,0.40,549.66,174.77,374.75,2.86,19.98,258.26,0.22,,0.22,
chc-lia-0237.smt2,18,2,,,1,,18,18,,14,13,1,22,,33,,1,54,,54,,,,,,,22,1,50,29,2,14,,,,,92.32,38.62,unsat,0.63,0.05,0.01,0.02,0.00,0.03,0.25,0.16,,0.00,0.01,0.00,0.04,0.49,0.03,0.40,0.05,0.01,0.05,0.01,,0.01,0.08
chc-lia-0238.smt2,,,,1,,,1,1,,,,,7,,,,5,11,,8,,,,,,,7,9,6,,,,,,,,53.20,25.30,sat,0.11,0.00,0.00,0.00,0.00,0.00,0.04,0.02,,,0.01,0.00,0.00,0.05,0.02,0.03,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0240.smt2,,,,19,,,41,41,,,,,162,,2905,,375,12894,27,1534,,,,,,,196,7053,1493,,,,,,,,1291.92,861.05,sat,214.16,10.26,0.71,6.27,0.51,2.90,191.94,147.52,,1.29,0.00,0.00,0.22,213.21,56.97,156.10,1.41,6.40,107.64,0.00,,0.00,
chc-lia-0241.smt2,,,,,1,1,38,37,,,,,919,5,5005,,,17495,8,2403,,,,,,,360,6733,2368,,,,,,,,428.03,425.98,timeout,598.37,17.80,1.41,10.91,0.99,4.87,528.52,436.27,,4.38,0.00,0.00,0.43,578.65,180.28,398.23,3.12,21.22,277.15,0.38,0.00,0.38,
chc-lia-0242.smt2,,4,,,2,1,39,38,,88,22,147,905,,5978,,,18521,42,2270,,,,,,,398,6669,2447,47,23,22,,60,1,,428.03,425.99,timeout,597.91,22.35,1.50,13.64,1.06,6.46,545.72,452.34,0.04,4.45,0.00,0.00,0.40,594.64,190.08,404.40,2.90,15.36,282.83,0.47,0.00,0.47,3.22
chc-lia-0243.smt2,,,,1,3,1,4,4,,2,,3,11,3,5,,9,23,,26,,1,2,,,,18,6,19,,,,,,54,,99.32,43.07,sat,0.43,0.03,0.00,0.01,0.00,0.02,0.23,0.17,,0.00,0.01,0.01,0.01,0.32,0.03,0.27,0.02,0.00,0.04,0.09,0.00,0.09,
chc-lia-0244.smt2,20,20,56,,1,,20,20,,34,,1,71,,94,,6,434,,127,,,,,,,130,155,162,20,8,3,,3,,,213.08,90.89,unsat,2.69,0.13,0.02,0.05,0.01,0.06,1.56,0.76,0.31,0.01,0.01,0.01,0.19,2.43,0.45,1.89,0.39,0.04,0.24,0.05,,0.05,0.26
chc-lia-0245.smt2,,,,41,1,,64,64,,34,,,299,,4319,,382,18749,12,1510,,,,,,,321,9641,1575,,,,,34,,,1361.76,943.94,sat,336.25,15.25,1.11,8.96,0.61,4.87,304.60,227.43,,2.60,0.00,0.00,0.27,335.08,125.01,209.81,1.88,7.71,140.27,0.18,,0.18,1.14
chc-lia-0246.smt2,4,,10,,,,4,4,,,,,12,,1,,3,27,,19,,,,,,,13,10,19,4,,3,,,,,98.88,40.56,unsat,0.66,0.04,0.00,0.02,0.00,0.02,0.35,0.03,0.23,0.00,0.01,0.01,0.04,0.50,0.09,0.40,0.07,0.00,0.11,0.00,,0.00,0.02
chc-lia-0247.smt2,,1,,22,1,,36,36,,20,6,43,156,,1254,,162,4826,8,708,,,,,,,135,1975,725,14,9,6,,14,,,534.40,316.28,sat,45.53,8.40,0.50,5.43,0.30,2.26,33.39,25.51,,0.33,0.00,0.00,0.11,45.17,11.68,33.35,0.62,1.49,17.16,0.03,,0.03,0.10
chc-lia-0248.smt2,,,,2,,,4,4,,,,,14,,2,,8,30,,21,,,,,,,8,12,16,,,,,,,,118.20,49.85,sat,0.25,0.01,0.00,0.00,0.00,0.01,0.10,0.04,0.01,0.00,0.02,0.01,0.00,0.14,0.02,0.10,0.01,0.00,0.00,0.00,,0.00,
chc-lia-0249.smt2,,,,,1,,38,37,,33,,,807,,4379,,,15370,10,2268,,,,,,,438,6186,2357,,,,,33,,,374.72,372.66,timeout,598.45,28.17,1.60,17.88,1.18,7.68,452.34,358.04,,2.94,0.00,0.00,0.41,503.85,144.60,359.12,3.27,13.43,237.10,0.30,,0.30,1.46
chc-lia-0251.smt2,,,,1,,,3,3,,,,,5,,1,,4,9,,10,,,,,,,4,3,6,,,,,,,,90.68,43.35,sat,0.21,0.01,0.00,0.00,0.00,0.00,0.07,0.03,,0.00,0.01,0.01,0.00,0.09,0.02,0.06,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0252.smt2,,,,6,1,,8,8,,6,,18,21,,26,,18,96,1,54,,,,,,,37,39,44,,,,,1,,,150.40,74.86,sat,0.65,0.05,0.01,0.01,0.01,0.02,0.27,0.13,,0.00,0.02,0.01,0.02,0.44,0.09,0.32,0.05,0.01,0.03,0.00,,0.00,0.00
chc-lia-0254.smt2,7,,45,,5,1,7,7,,13,,13,33,13,8,,16,185,,52,,,,,,,44,118,51,7,,6,,,321,1,267.60,110.92,unsat,3.38,0.13,0.01,0.06,0.01,0.06,2.58,0.07,2.04,0.00,0.02,0.02,0.08,3.02,0.54,2.45,0.16,0.02,0.24,1.18,0.00,1.18,0.05
chc-lia-0255.smt2,,,,,,,40,39,,,,,932,,7002,,89,25239,11,1482,,,,,,,391,11323,1443,,,,,,,,471.93,471.55,timeout,598.86,38.34,2.03,24.24,1.08,11.25,538.91,398.59,,5.50,0.01,0.00,0.26,598.79,285.01,313.63,2.65,9.79,212.04,0.04,,0.04,
chc-lia-0256.smt2,,,8,2,,,4,4,,,,,22,,1,,17,40,,33,,,,,,,20,22,29,,,,,,,,243.72,108.78,sat,1.18,0.13,0.01,0.05,0.01,0.06,0.58,0.22,0.13,0.00,0.03,0.02,0.02,0.78,0.16,0.61,0.05,0.00,0.13,0.00,,0.00,
chc-lia-0258.smt2,,,14,3,,,5,5,,,,,15,,3,,10,58,,25,,,,,,,12,32,19,,,,,,,,242.92,109.07,sat,0.99,0.03,0.00,0.01,0.00,0.02,0.49,0.02,0.24,0.00,0.04,0.03,0.01,0.59,0.27,0.30,0.03,0.00,0.00,0.00,,0.00,
chc-lia-0259.smt2,,,,1,,,4,4,,,,,17,,8,,14,35,,31,,,,,,,17,9,26,,,,,,,,312.52,127.71,sat,1.06,0.09,0.01,0.03,0.00,0.06,0.51,0.35,,0.00,0.05,0.03,0.01,0.64,0.12,0.51,0.01,0.00,0.17,0.00,,0.00,
chc-lia-0260.smt2,,,44,5,2,,6,6,,3,,10,53,8,44,,26,251,,80,,,,,,,53,131,70,,,,,,,,354.96,143.28,sat,1.98,0.09,0.01,0.03,0.01,0.04,1.28,0.14,0.59,0.00,0.05,0.03,0.02,1.50,0.35,1.13,0.04,0.02,0.02,0.01,,0.01,
chc-lia-0261.smt2,,,44,5,2,,6,6,,3,,10,53,8,41,,27,251,,80,,,,,,,57,135,70,,,,,,,,394.24,163.82,sat,1.94,0.09,0.01,0.03,0.01,0.04,1.20,0.15,0.51,0.00,0.05,0.03,0.02,1.43,0.34,1.07,0.05,0.02,0.02,0.01,,0.01,
chc-lia-0262.smt2,,,,5,2,,7,7,,3,,16,28,,24,,15,115,,52,,,,,,,26,50,42,,,,,,,,267.48,108.60,sat,0.85,0.05,0.00,0.01,0.00,0.03,0.42,0.20,0.06,0.00,0.05,0.03,0.01,0.57,0.14,0.40,0.04,0.01,0.01,0.00,,0.00,
chc-lia-0263.smt2,,,9221,,6,,137,136,,6,,,325,18086,9459,,3,30341,,18557,,,,,,,319,5597,18422,,,,,,,,1186.39,1185.69,timeout,594.99,25.48,4.61,12.84,1.89,6.91,426.43,37.72,87.67,0.86,0.06,0.04,3.20,590.39,62.35,527.43,11.99,50.59,45.15,60.17,,60.17,0.09
chc-lia-0265.smt2,,,540,13,28,1,14,14,,79,,31,452,1,380,,218,4704,7,710,,9,,,,,567,2644,694,,4,,,1,254,,4345.00,1338.12,sat,14.76,0.74,0.09,0.24,0.16,0.26,8.95,1.30,3.77,0.01,0.15,0.06,0.26,11.16,3.63,7.45,0.50,0.20,0.60,0.64,0.00,0.64,0.24
chc-lia-0267.smt2,,,,3,,,6,6,,,,,12,,19,,7,38,,29,,,,,,,7,9,22,,,,,,,,372.84,160.57,sat,1.06,0.03,0.00,0.01,0.00,0.02,0.31,0.13,,0.00,0.07,0.04,0.01,0.38,0.05,0.32,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0268.smt2,11,,22,,10,1,11,11,,14,6,8,25,8,9,,,298,,43,,,,,,,30,143,41,16,,8,,,8,,688.80,259.77,unsat,4.26,0.20,0.02,0.08,0.01,0.10,3.10,0.39,1.96,0.00,0.08,0.06,0.03,3.50,1.25,2.19,0.04,0.02,0.37,0.41,0.00,0.41,0.13
chc-lia-0269.smt2,,170,,16,22,1,27,27,,117,,141,101,28,462,,80,1703,12,417,,20,142,,,,403,868,470,,77,,,29,2218,17,1373.28,667.10,sat,25.07,1.30,0.16,0.56,0.11,0.53,20.04,15.29,,0.03,0.05,0.04,0.18,23.51,2.61,20.78,0.43,0.44,1.89,11.12,0.00,11.12,0.31
chc-lia-0270.smt2,4,,,,,,4,4,,,,,5,,4,,,11,,11,,,,,,,5,1,10,4,,1,,,,,396.16,165.18,unsat,1.46,0.00,0.00,0.00,0.00,0.00,0.46,0.28,,0.00,0.06,0.05,0.02,0.52,0.11,0.40,0.02,0.00,0.07,0.00,,0.00,0.01
chc-lia-0271.smt2,,3778,3006,131,77,1,137,137,,708,,308,143,,1020,37,176,18710,96,3827,,91,358,,,,1339,14270,7017,,3296,,,41,7190,25,1882.96,1133.03,sat,218.66,5.35,0.68,1.52,0.57,2.70,166.07,62.42,45.91,0.33,0.08,0.06,3.36,217.35,23.79,192.83,9.46,4.65,1.36,87.81,0.01,87.81,2.23
chc-lia-0272.smt2,10,,14,,1,,10,10,,5,5,,28,,19,,6,244,,52,,,,,,,34,122,50,10,,4,,,,,458.96,197.06,unsat,2.33,0.02,0.00,0.01,0.00,0.01,1.32,0.74,0.17,0.00,0.04,0.03,0.05,1.56,0.79,0.73,0.12,0.01,0.03,0.01,,0.01,0.05
chc-lia-0273.smt2,10,11,596,,13,3,10,10,1,70,,63,716,63,224,18,12,1471,1,882,,58,3,1,,,876,497,885,14,4,8,2,,2455,6,3322.76,1209.16,unsat,377.61,19.62,1.95,9.03,0.68,8.81,334.42,30.16,253.40,0.02,0.12,0.09,6.23,372.87,18.54,354.28,14.27,1.74,123.99,118.78,0.00,118.78,4.71
chc-lia-0274.smt2,,,11,2,,,4,4,,,,,14,,3,,8,30,,21,,,,,,,8,12,16,,,,,,,,633.88,294.23,sat,2.88,0.12,0.01,0.04,0.00,0.07,1.36,0.30,0.57,0.00,0.11,0.09,0.01,1.52,0.34,1.17,0.02,0.00,0.00,0.00,,0.00,
chc-lia-0275.smt2,,,175,,16,,7,6,,22,,22,217,,68,,34,757,,267,,,,,,,204,310,259,,,,,,,,,,,,0.44,0.05,0.14,0.04,0.22,9.26,1.92,4.69,0.00,0.16,0.11,0.18,10.38,1.68,8.67,0.36,0.09,0.15,0.02,,0.02,0.39
chc-lia-0276.smt2,4,,61,,1,,4,4,,2,,2,100,2,15,,,138,,121,,,,,,,113,45,121,4,,1,,,,,1321.56,472.65,unsat,14.54,0.24,0.02,0.06,0.01,0.15,11.47,3.29,6.37,0.00,0.13,0.10,0.26,12.52,2.14,10.37,0.66,0.02,2.24,0.01,,0.01,0.09
chc-lia-0277.smt2,,,28,1,,,3,3,,,,,30,,1,,17,33,,37,,,,,,,27,14,33,,,,,,,,998.88,405.80,sat,7.82,0.24,0.01,0.08,0.00,0.15,5.27,0.02,4.29,0.00,0.11,0.09,0.01,5.57,2.12,3.44,0.03,0.00,0.73,0.00,,0.00,
chc-lia-0278.smt2,,3936,318,,49,2,103,102,,326,,115,434,2,4259,116,101,11296,58,4413,,46,603,,,,2733,3920,11232,,3096,,12,130,20943,40,1070.24,1047.20,timeout,596.65,5.73,0.98,2.59,1.01,1.12,462.22,349.21,13.74,0.65,0.17,0.10,7.97,531.40,38.24,492.53,19.12,10.09,23.22,237.99,0.01,237.99,1.26
chc-lia-0279.smt2,,1751,698,,65,1,69,68,,586,,761,567,,3159,,171,12999,10,2638,,55,124,,,,1830,6132,3960,,1410,,,122,18604,14,902.41,874.70,timeout,598.15,25.78,2.82,8.96,1.64,13.76,524.82,286.17,136.60,0.62,0.15,0.12,6.31,592.03,58.34,533.31,11.29,7.75,4.34,319.62,0.00,319.62,12.43
chc-lia-0280.smt2,7,,149,,3,1,7,7,,16,,15,119,16,29,7,2,376,,156,,16,,,,,173,152,156,7,,5,,,559,,1852.56,702.59,unsat,75.30,1.33,0.12,0.52,0.05,0.68,62.27,3.43,52.75,0.00,0.17,0.13,0.82,66.02,6.45,59.53,1.84,0.10,13.35,27.60,0.00,27.60,1.17
chc-lia-0281.smt2,55,2313,314,,74,2,55,55,,928,2,363,2729,18,3373,87,89,16626,98,4482,,93,571,5,,,8384,8410,7793,61,130,7,14,754,8723,10,8779.52,3175.19,unsat,458.23,13.79,1.67,5.60,1.46,5.21,360.77,202.58,77.27,0.37,0.17,0.13,18.87,451.09,33.50,417.30,30.18,21.02,79.02,126.54,0.00,126.54,10.36
chc-lia-0282.smt2,,,48,6,,,8,8,,,,,67,,33,,50,508,,95,,,,,,,58,310,86,,,,,,,,1320.32,519.55,sat,9.30,0.47,0.02,0.10,0.01,0.35,6.65,1.88,3.40,0.00,0.14,0.11,0.07,7.37,2.47,4.87,0.15,0.00,0.43,0.00,,0.00,
chc-lia-0283.smt2,,,4,3,1,1,5,5,,1,,1,10,1,4,,9,41,,20,,,,,,,15,19,15,,,,,,95,,1121.28,545.15,sat,18.02,0.69,0.03,0.25,0.01,0.40,11.74,0.08,9.22,0.00,0.17,0.15,0.01,12.52,2.13,10.37,0.04,0.00,3.19,4.34,0.00,4.34,
chc-lia-0284.smt2,13,73,566,,78,2,13,13,,97,,113,804,118,1240,10,1,8274,,1144,,38,3,,,,1156,3940,1302,13,6,1,4,22,2215,,16721.92,4772.98,unsat,179.06,4.24,0.39,1.36,0.26,2.33,164.16,11.83,115.79,0.10,0.28,0.15,1.54,176.25,24.22,151.96,3.36,1.44,24.21,64.04,0.00,64.04,1.29
chc-lia-0285.smt2,,,1,4,,,6,6,,,,,44,,33,,26,213,,59,,,,,,,42,106,52,,,,,,,,1476.44,559.07,sat,8.04,0.23,0.01,0.06,0.01,0.15,5.75,4.36,0.13,0.00,0.25,0.20,0.06,6.18,1.82,4.34,0.14,0.00,0.27,0.00,,0.00,
chc-lia-0286.smt2,,,152,7,1,,8,8,,2,,7,151,,112,,87,708,,201,,,,,,,177,404,190,,,,,,,,2130.84,823.00,sat,15.81,0.74,0.06,0.29,0.04,0.36,11.60,2.05,6.45,0.00,0.22,0.18,0.18,12.96,3.53,9.40,0.41,0.02,0.47,0.01,,0.01,
chc-lia-0287.smt2,,597,735,,103,2,30,29,,552,,235,454,6,765,81,,6637,1,1349,2,155,41,,,,1009,2538,2247,,614,,2,135,10548,35,918.34,906.29,timeout,599.69,2.00,0.45,0.91,0.36,0.48,321.69,265.03,47.67,0.08,0.31,0.22,1.08,334.54,260.45,73.92,2.39,2.79,3.94,39.38,0.00,39.38,1.63
chc-lia-0288.smt2,18,185,826,,52,2,18,18,,158,,133,881,357,1608,63,38,10283,12,1440,,187,46,,,,1439,5908,1560,18,137,4,9,5,6834,57,8925.12,2950.18,unsat,504.26,6.96,0.83,3.42,0.48,2.44,479.07,36.28,355.41,0.13,0.29,0.21,0.88,501.03,69.41,431.51,2.10,5.02,68.41,228.22,0.00,228.22,8.52
chc-lia-0290.smt2,17,271,955,,85,1,17,17,,171,,165,910,464,1842,54,16,9229,5,1562,,208,35,,,,1193,4934,1616,17,213,4,,9,3769,36,7336.60,2484.37,unsat,430.22,7.44,0.91,3.17,0.48,3.15,403.50,53.32,268.50,0.12,0.29,0.21,1.07,426.47,53.90,372.47,2.54,4.86,73.92,153.44,0.00,153.44,10.24
chc-lia-0291.smt2,,,700,13,6,,14,14,,12,,10,733,5,686,,354,8289,3,984,,,,,,,825,4340,966,,,,,,,,16485.16,4687.75,sat,62.78,1.49,0.16,0.50,0.16,0.66,44.28,8.33,19.36,0.04,0.37,0.21,0.57,48.27,12.52,35.67,1.13,0.17,1.75,0.06,,0.06,0.07
chc-lia-0292.smt2,,,67,7,1,,9,9,,2,,10,84,,133,,43,675,2,115,,,,,,,80,330,105,,,,,,,,1811.28,642.80,sat,4.47,0.13,0.01,0.03,0.01,0.08,2.47,0.56,0.91,0.00,0.20,0.14,0.05,2.84,0.85,1.96,0.10,0.01,0.05,0.00,,0.00,
chc-lia-0294.smt2,,,42,2,,,3,3,,,,,46,,1,,35,120,,55,,,,,,,44,100,51,,,,,,,,1976.52,773.32,sat,15.64,0.36,0.01,0.06,0.01,0.28,10.55,0.00,8.26,0.00,0.25,0.21,0.04,11.06,2.42,8.63,0.11,0.00,1.04,0.00,,0.00,
chc-lia-0295.smt2,5,,121,,1,1,5,5,,2,,1,143,1,10,,1,323,,162,,,,,,,159,163,162,5,,3,,,7,3,3528.60,1185.41,unsat,44.30,1.18,0.07,0.40,0.03,0.70,35.12,0.81,28.08,0.00,0.29,0.22,1.01,39.82,6.85,32.95,3.19,0.05,6.76,0.57,0.00,0.57,0.23
