index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0284.smt2,13,59,568,,80,2,13,13,,854,69,1257,32,,8579,,1160,,44,53,,,,967,4287,1159,13,1,2,3,,,2251,,16896.24,4876.81,unsat,188.59,5.59,0.51,1.83,0.31,3.07,170.83,24.40,105.58,0.12,0.30,0.17,2.07,185.26,34.03,151.15,4.14,1.50,31.36,47.58,0.00,47.58,1.09
chc-lia-0285.smt2,,,1,4,,,6,6,,44,,33,,26,213,,59,,,,,,,42,106,52,,,,,,,,,1476.44,559.07,sat,8.94,0.24,0.02,0.06,0.01,0.16,6.50,5.01,0.15,0.00,0.28,0.22,0.06,6.96,2.10,4.83,0.14,0.00,0.28,0.00,,0.00,
chc-lia-0286.smt2,,,158,13,1,,15,15,,156,,96,,85,997,,231,,,,,,,180,532,215,,,,,,,,,2149.84,837.82,sat,20.37,1.33,0.11,0.53,0.07,0.63,15.13,2.49,9.01,0.01,0.23,0.19,0.21,17.24,5.86,11.33,0.47,0.03,0.51,0.02,,0.02,
chc-lia-0287.smt2,,2365,2566,,184,2,48,47,,694,,1563,416,,15793,21,3872,34,496,85,,,,1074,5776,4609,,2463,,36,,38,44895,108,1034.71,993.28,timeout,598.86,7.41,1.73,3.49,1.33,1.69,535.17,157.31,334.76,0.33,0.32,0.22,4.01,593.54,77.38,515.89,7.62,13.53,8.95,398.06,0.01,398.06,7.72
chc-lia-0288.smt2,18,98,664,,50,2,18,18,,808,290,1580,33,34,9947,22,1287,,124,59,,,,1122,5853,1366,18,79,4,12,,1,6236,42,8704.12,2873.68,unsat,463.99,6.53,0.84,2.96,0.42,2.55,440.81,31.69,336.41,0.12,0.37,0.28,0.80,459.85,68.80,390.94,1.81,4.17,55.29,222.17,0.00,222.17,4.15
chc-lia-0290.smt2,17,107,796,,71,2,17,17,,847,380,1683,49,17,8975,5,1424,,170,51,,,,1117,4933,1596,17,137,4,1,,7,2861,39,7261.16,2457.00,unsat,349.82,6.28,0.80,2.84,0.40,2.43,325.68,40.43,217.38,0.11,0.33,0.24,1.04,345.49,52.40,292.99,2.41,4.42,52.47,114.27,0.00,114.27,8.12
chc-lia-0291.smt2,,,728,13,8,1,14,14,,732,,682,,349,8230,3,977,,1,,,,,802,4300,962,,,,,,,31,,14496.64,4185.58,sat,64.47,1.68,0.18,0.56,0.18,0.75,43.83,2.76,23.58,0.04,0.42,0.25,0.59,48.16,12.25,35.82,1.16,0.19,1.18,1.33,0.00,1.33,0.01
chc-lia-0292.smt2,,1516,111,,78,1,126,125,,414,,4027,90,6,27507,347,1865,,78,449,,,,1651,17447,1959,,233,,,,10,5915,,1934.38,1875.46,timeout,597.67,7.23,0.60,1.91,0.60,3.01,463.74,189.17,5.02,0.85,0.23,0.17,9.72,524.21,111.71,411.80,23.52,9.79,2.70,85.07,0.00,85.07,0.51
chc-lia-0294.smt2,,,42,2,,,3,3,,46,,1,,35,120,,55,,,,,,,44,100,51,,,,,,,,,1976.52,773.32,sat,18.06,0.48,0.02,0.08,0.01,0.38,12.43,0.01,9.84,0.00,0.29,0.24,0.05,13.07,2.94,10.12,0.11,0.00,1.39,0.00,,0.00,
chc-lia-0295.smt2,5,,122,,1,1,5,5,,146,,10,,1,323,,164,,,,,,,159,163,164,5,,3,,,,7,3,3530.84,1186.98,unsat,57.09,1.36,0.07,0.45,0.03,0.82,46.74,0.94,38.09,0.00,0.32,0.25,1.18,52.16,8.44,43.70,3.67,0.06,8.45,0.63,0.00,0.63,0.28
chc-lia-0296.smt2,,,154,3,,,7,7,,164,,94,,83,593,,194,,,,,,,159,300,186,,,,,,,,,5264.84,1649.34,sat,19.46,0.25,0.01,0.06,0.01,0.14,16.01,0.57,10.95,0.00,0.40,0.30,0.16,16.77,1.92,14.82,0.32,0.01,0.00,0.00,,0.00,
chc-lia-0297.smt2,,,,3,,,6,6,,19,,20,,13,66,,38,,,,,,,19,26,31,,,,,,,,,972.52,399.37,sat,5.13,0.22,0.01,0.09,0.01,0.12,2.06,1.29,0.21,0.00,0.24,0.12,0.02,2.40,0.59,1.78,0.06,0.00,0.40,0.00,,0.00,
chc-lia-0298.smt2,,,,2,,,4,4,,61,,2,,47,194,,68,,,,,,,54,144,63,,,,,,,,,1887.84,775.08,sat,13.83,0.22,0.02,0.09,0.02,0.10,9.69,5.88,0.12,0.00,0.29,0.24,0.08,10.18,1.99,8.18,0.20,0.00,0.00,0.00,,0.00,
chc-lia-0299.smt2,2,,1,,,,2,2,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,860.48,386.47,unsat,3.54,0.00,0.00,0.00,0.00,0.00,1.30,0.90,0.10,,0.33,0.26,0.02,1.34,0.40,0.93,0.02,0.00,,,,,0.04
chc-lia-0302.smt2,2,,1,,,,2,2,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,634.08,299.14,unsat,2.43,0.00,0.00,0.00,0.00,0.00,0.95,0.86,0.04,,0.26,0.18,0.00,0.96,0.03,0.92,0.00,0.00,,,,,0.01
chc-lia-0303.smt2,,,33,2,,,4,4,,29,,11,,19,72,,42,,,,,,,30,32,37,,,,,,,,,1939.68,804.76,sat,11.99,0.43,0.02,0.10,0.01,0.31,7.93,0.19,5.41,0.00,0.40,0.29,0.08,8.57,1.65,6.90,0.15,0.00,2.23,0.00,,0.00,
chc-lia-0304.smt2,3,,42,,,,3,3,,38,,1,,,22,,44,,,,,,,43,,44,3,,2,,,,,,2131.20,854.03,unsat,33.70,1.03,0.04,0.18,0.02,0.80,23.15,2.09,16.02,0.00,0.42,0.36,0.73,25.81,2.67,23.14,1.33,0.01,13.22,0.00,,0.00,0.22
chc-lia-0305.smt2,11,1,384,,10,1,11,11,,443,,151,,26,3511,6,490,,8,,,,,444,2061,489,11,7,3,,,,603,,8103.04,2570.97,unsat,113.22,2.65,0.20,1.02,0.10,1.37,102.57,2.07,82.52,0.01,0.39,0.25,0.68,108.62,22.24,86.31,1.58,0.62,15.85,31.30,0.00,31.30,0.16
chc-lia-0306.smt2,,,81,6,,,10,10,,60,,34,,45,412,6,109,,,,,,,83,223,98,,,,,,,,,1935.28,779.76,sat,32.26,0.72,0.07,0.21,0.03,0.45,27.13,0.14,16.44,0.00,0.50,0.41,0.09,28.17,6.98,21.15,0.17,0.01,0.29,0.00,,0.00,
chc-lia-0310.smt2,3,,,,1,,3,3,,85,,2,,,53,,88,,,,,,,69,3,87,3,,1,,,,,,4543.68,1604.97,unsat,99.92,0.88,0.03,0.11,0.01,0.73,84.09,74.76,0.23,0.00,0.52,0.41,1.59,88.97,3.39,85.57,3.41,0.01,46.53,0.00,,0.00,0.52
chc-lia-0311.smt2,9,,33,,2,,9,9,,100,,160,,20,637,,170,,,,,,,106,240,169,9,,3,,,,,,3040.92,1038.48,unsat,5.97,0.15,0.01,0.04,0.01,0.08,2.92,1.16,0.44,0.00,0.46,0.35,0.11,3.44,0.82,2.59,0.18,0.02,0.01,0.01,,0.01,0.04
chc-lia-0312.smt2,,,62,7,15,1,9,9,,90,,107,,53,699,,159,,7,25,,,,105,404,153,,2,,,,,660,,4591.84,1754.14,sat,83.92,3.52,0.21,1.12,0.09,2.18,72.67,24.53,40.14,0.00,0.59,0.50,0.41,77.24,11.76,65.44,0.70,0.07,29.28,1.12,0.00,1.12,0.49
chc-lia-0313.smt2,,,32,4,,,8,8,,42,,26,,33,285,,73,,,,,,,53,145,65,,,,,,,,,2178.12,864.70,sat,30.46,1.25,0.06,0.24,0.02,0.94,25.22,4.66,16.80,0.00,0.57,0.46,0.20,27.05,7.49,19.53,0.45,0.01,7.91,0.00,,0.00,
chc-lia-0314.smt2,,903,2115,,145,2,55,54,,2670,285,22508,17,220,85150,114,5475,,230,300,,,,4167,39610,6988,,1032,,38,,45,20203,112,10447.42,10308.27,timeout,597.66,19.92,2.08,8.54,4.03,4.87,422.81,192.38,137.68,2.04,1.07,0.90,3.28,574.94,138.72,435.86,8.47,58.45,34.84,215.50,0.00,215.50,2.78
chc-lia-0315.smt2,3,,153,,,,3,3,,157,,1,,,81,,169,,,,,,,126,6,169,3,,2,,,,,,7785.16,2548.88,unsat,92.70,1.74,0.07,0.37,0.04,1.26,74.50,4.44,53.84,0.00,0.64,0.48,2.85,81.74,7.16,74.57,4.83,0.02,29.64,0.00,,0.00,0.42
chc-lia-0316.smt2,,,1,1,,,1,1,,5,,,,4,8,,6,,,,,,,5,7,4,,,,,,,,,2510.68,1352.82,sat,45.70,1.85,0.07,1.13,0.02,0.66,19.87,0.89,1.31,,0.56,0.52,0.03,21.86,13.49,8.37,0.14,0.00,0.00,0.00,,0.00,
chc-lia-0317.smt2,,,4,1,,,3,3,,6,,1,,5,9,,13,,,,,,,7,2,9,,,,,,,,,1234.68,602.36,sat,16.00,0.31,0.01,0.05,0.00,0.25,11.60,0.06,10.02,0.00,0.42,0.32,0.01,11.97,8.68,3.28,0.02,0.00,0.42,0.00,,0.00,
chc-lia-0318.smt2,,203,395,30,16,1,34,34,,116,,90,,166,3433,9,445,,23,,,,,178,2411,411,,147,,,,,1882,2,4088.12,1808.10,sat,121.79,8.50,0.60,3.22,0.33,4.57,95.91,16.58,68.68,0.03,0.54,0.47,2.18,112.12,45.65,66.31,3.57,1.39,3.03,27.51,0.00,27.51,0.30
chc-lia-0319.smt2,5,,261,,1,,5,5,,245,,49,,13,534,,271,,,,,,,246,215,271,5,,3,,,,,,10257.92,3181.65,unsat,131.95,4.67,0.24,2.01,0.12,2.33,104.12,4.41,81.77,0.00,0.66,0.54,2.88,114.66,16.94,97.70,5.27,0.04,15.93,0.01,,0.01,0.55
chc-lia-0321.smt2,,340,,,62,2,129,128,,299,,3094,3992,,10013,41,4891,,74,740,,,,233,3840,6123,,4570,,456,,44,30048,43,2384.82,2368.72,timeout,597.09,7.09,1.08,2.52,1.01,1.97,485.51,342.78,2.48,0.81,0.66,0.54,11.27,573.84,43.94,529.25,25.50,9.96,0.64,312.09,0.05,312.09,0.71
chc-lia-0323.smt2,3,,103,,,,3,3,,105,,1,,,139,,110,,,,,,,102,69,110,3,,2,,,,,,9236.76,2915.77,unsat,111.85,1.79,0.08,0.37,0.04,1.30,88.33,5.28,67.81,0.00,0.69,0.55,2.73,95.63,7.53,88.09,4.85,0.03,31.62,0.00,,0.00,0.63
chc-lia-0328.smt2,9,,73,,15,1,9,9,,462,19,286,,50,2337,1,690,,7,47,,,,583,1368,698,9,5,1,,,,596,,20152.84,5699.31,unsat,154.14,3.85,0.23,0.94,0.13,2.54,131.52,64.86,49.76,0.01,0.87,0.57,2.88,142.15,9.54,132.55,4.91,0.47,22.24,58.84,0.00,58.84,0.65
chc-lia-0329.smt2,3,,64,,,,3,3,,63,,1,,,99,,66,,,,,,,61,48,66,3,,2,,,,,,3944.48,1321.43,unsat,15.35,0.05,0.00,0.01,0.00,0.02,7.02,1.72,2.97,0.00,0.49,0.36,0.07,7.31,1.04,6.26,0.14,0.01,1.86,0.00,,0.00,0.09
chc-lia-0331.smt2,5,,149,,,,5,5,,156,,70,,,466,,170,,,,,,,139,144,169,5,,3,,,,,,10706.04,3348.89,unsat,112.76,1.89,0.09,0.36,0.04,1.41,83.99,2.36,73.03,0.00,0.85,0.70,1.60,88.75,17.77,70.96,2.50,0.01,15.25,0.00,,0.00,0.96
chc-lia-0333.smt2,,309,468,74,40,2,76,76,,480,,6345,22,357,31331,106,1417,,89,280,,,,742,18221,1563,,257,,55,,35,5136,13,51310.40,14405.19,sat,401.82,13.01,0.75,3.11,0.65,8.39,305.14,38.02,205.87,0.19,0.91,0.72,7.36,345.18,99.48,245.23,10.03,5.88,33.09,25.82,0.00,25.82,0.37
chc-lia-0334.smt2,,,101,5,,,8,8,,85,,9,,27,329,,118,,,,,,,95,117,109,,,,,,,,,5016.08,2395.88,sat,135.93,5.11,0.10,0.48,0.05,4.48,95.33,3.61,57.91,0.00,0.92,0.77,3.49,105.29,36.49,68.77,4.58,0.02,31.49,0.00,,0.00,
chc-lia-0335.smt2,3,,245,,,,3,3,,241,,1,,,279,,252,,,,,,,230,137,253,3,,2,,,,,,25358.40,7360.30,unsat,110.20,0.86,0.06,0.39,0.05,0.33,86.90,2.71,62.58,0.00,1.31,1.07,0.55,88.96,8.43,80.51,0.89,0.01,4.40,0.00,,0.00,0.25
chc-lia-0336.smt2,,,238,16,7,1,32,32,,177,5,458,,98,2951,,494,,16,5,,,,172,1522,462,,11,,,,,954,,12041.48,3793.43,sat,319.43,6.39,0.30,1.34,0.15,4.62,299.35,10.25,259.70,0.02,1.28,1.01,0.56,308.04,39.74,268.13,1.04,0.08,19.06,181.46,0.00,181.46,0.02
chc-lia-0337.smt2,,,,1,,,3,3,,9,,2,,7,12,,15,,,,,,,7,4,11,,,,,,,,,1510.76,735.94,sat,8.22,0.25,0.01,0.05,0.00,0.19,3.44,2.64,,0.00,1.20,1.02,0.01,3.74,1.74,1.99,0.02,0.00,0.40,0.00,,0.00,
chc-lia-0339.smt2,,,131,2,,,5,5,,121,,38,,72,342,,148,,,,,,,110,169,142,,,,,,,,,12941.36,4069.31,sat,62.10,1.28,0.06,0.27,0.03,0.92,48.86,1.44,38.98,0.00,1.11,0.96,0.72,51.51,14.08,37.41,1.21,0.01,8.86,0.00,,0.00,
chc-lia-0340.smt2,,3246,1296,,199,1,35,34,,1573,,14438,,48,48406,321,6188,,192,1741,,,,3670,22164,6867,,857,,,,48,24519,82,38334.22,38272.03,timeout,596.90,19.29,1.82,8.47,2.55,5.16,392.78,112.93,110.93,0.75,1.65,1.15,6.00,570.04,86.92,482.83,12.07,61.54,3.07,168.73,0.00,168.73,0.16
chc-lia-0341.smt2,,400,39,48,25,2,50,50,,61,,645,97,79,5436,36,544,,26,273,,,,364,4365,596,,134,,17,,7,10434,4,2994.12,1399.25,sat,86.72,2.67,0.18,0.59,0.13,1.82,71.88,52.74,11.86,0.04,1.42,1.12,0.42,80.12,11.38,68.44,0.83,1.40,0.42,51.76,0.00,51.76,0.04
chc-lia-0342.smt2,5,,730,,2,1,5,5,,736,,48,,48,1970,,755,,1,,,,,706,1088,755,5,,4,,,,18,,25804.92,7549.60,unsat,341.20,5.78,0.27,2.12,0.32,2.97,302.25,23.31,209.06,0.02,1.42,1.09,2.08,314.00,32.71,281.26,3.77,0.48,51.27,4.49,0.00,4.49,1.72
chc-lia-0345.smt2,,,,,,,1,1,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,1578.76,812.77,sat,7.20,0.00,0.00,0.00,0.00,0.00,0.59,0.00,,,1.63,1.35,0.00,0.59,0.00,0.59,0.00,0.00,,,,,
chc-lia-0346.smt2,,,241,6,,,7,7,,276,,81,,156,1262,2,292,,,,,,,279,762,284,,,,,,,,,14098.12,4753.04,sat,140.37,0.92,0.06,0.30,0.09,0.43,109.83,25.70,68.60,0.01,1.41,1.23,0.81,112.74,31.31,81.39,1.53,0.05,0.15,0.00,,0.00,
chc-lia-0347.smt2,,1482,1821,,323,1,27,26,,591,,1834,1238,,9246,,2575,,1085,,,,,1065,3267,5565,,1656,,,,7,11243,9,3613.33,3604.39,timeout,597.47,9.12,1.19,3.29,1.20,3.57,260.55,84.29,125.87,0.39,1.51,1.18,17.22,343.78,43.65,299.97,29.56,17.61,8.12,111.96,0.02,111.96,8.49
chc-lia-0348.smt2,3,,201,,1,,3,3,,199,,1,,,494,,204,,,,,,,203,298,204,3,,1,,,,,,35956.56,10107.88,unsat,136.28,0.63,0.04,0.22,0.04,0.29,98.90,4.94,64.88,0.00,1.60,1.24,1.93,102.87,10.62,92.23,2.55,0.03,8.77,0.01,,0.01,1.00
chc-lia-0349.smt2,5,,35,,,,5,5,,43,,23,,,127,,56,,,,,,,36,44,56,5,,2,,,,,,7358.12,2740.19,unsat,85.27,0.59,0.02,0.12,0.02,0.42,43.70,1.75,33.87,0.00,1.55,1.23,0.25,44.83,14.97,29.83,0.29,0.00,2.43,0.00,,0.00,1.96
chc-lia-0350.smt2,,,333,6,1,,9,9,,285,,180,,239,2679,,375,,,,,,,332,1776,366,,,,,,,,,19718.56,6393.59,sat,297.46,15.28,0.87,5.80,0.39,8.52,243.45,3.15,206.06,0.02,1.43,1.21,3.11,264.89,61.42,203.43,5.23,0.20,40.94,0.09,,0.09,
chc-lia-0353.smt2,,,197,,1,,5,4,,181,,33,,,449,,207,,,,,,,198,137,202,,,,,,,,,4485.36,4467.85,timeout,599.33,8.11,0.48,2.82,0.24,4.68,224.93,9.32,163.93,0.00,1.39,1.19,3.87,240.17,40.79,199.37,6.62,0.17,45.59,0.01,,0.01,
chc-lia-0354.smt2,,126,1578,,89,1,19,18,,1543,,4218,3,69,19753,36,1912,,3,,,,,1129,9145,1893,,14,,,,,400,,17326.00,17290.49,timeout,599.10,15.02,1.20,4.73,1.00,8.11,540.51,28.75,246.60,0.24,1.60,1.27,3.16,586.12,98.73,487.27,5.44,10.91,56.39,47.82,0.00,47.82,0.45
chc-lia-0356.smt2,,,606,15,19,,16,16,,619,,995,,439,9927,13,918,,,,,,,691,5945,903,,,,,,,,,46619.76,13188.80,sat,544.04,88.31,4.89,58.24,1.62,26.22,344.06,12.94,250.39,0.11,1.69,1.43,4.16,447.39,125.24,322.07,6.55,3.57,19.70,2.89,,2.89,
chc-lia-0358.smt2,,,,1,,,3,3,,11,,2,,8,14,,17,,,,,,,8,5,13,,,,,,,,,3815.76,1746.23,sat,61.38,2.51,0.13,0.82,0.06,1.54,43.42,36.46,,0.00,1.95,1.60,0.01,46.00,28.41,17.58,0.02,0.00,3.51,0.00,,0.00,
chc-lia-0359.smt2,,,156,,,,5,4,,159,,28,,4,432,,172,,,,,,,136,163,167,,,,,,,,,4741.46,4738.02,timeout,599.38,0.99,0.07,0.33,0.06,0.49,76.54,0.25,60.39,0.00,2.14,1.90,1.83,80.19,29.97,50.20,2.30,0.16,0.89,0.00,,0.00,
chc-lia-0360.smt2,,,158,4,11,1,7,7,,183,1,78,,95,754,2,222,,,,,,,170,388,214,,,,,,,315,,12323.32,3917.43,sat,282.96,6.24,0.22,0.96,0.14,4.97,257.44,0.70,225.32,0.00,2.06,1.46,0.29,264.93,32.78,232.08,0.54,0.09,25.42,109.96,0.00,109.96,
chc-lia-0362.smt2,,,,,,,2,2,,4,,,,4,4,,7,,,,,,,4,2,4,,,,,,,,,9900.44,1928.12,sat,206.01,0.07,0.00,0.01,0.00,0.05,9.91,0.82,,,0.42,0.35,0.01,10.11,6.70,3.40,0.13,0.00,0.00,0.00,,0.00,
chc-lia-0363.smt2,,,253,,2,1,6,5,,229,,43,,3,1008,,270,,,,,,,253,533,264,,,,,,,1130,,6318.99,6291.10,timeout,599.12,2.65,0.12,0.62,0.13,1.74,495.87,5.93,462.35,0.00,2.29,2.01,1.03,500.97,32.26,468.69,1.63,0.18,34.64,333.81,0.00,333.81,
chc-lia-0364.smt2,,,98,1,,,3,3,,101,,1,,51,104,,106,,,,,,,78,49,102,,,,,,,,,9024.44,3091.44,sat,92.26,0.63,0.01,0.08,0.02,0.51,72.21,4.65,56.29,0.00,1.52,1.17,0.20,73.41,14.34,59.06,0.46,0.00,0.00,0.00,,0.00,
chc-lia-0365.smt2,,,121,3,,,6,6,,91,,11,,51,263,,132,,,,,,,59,149,126,,,,,,,,,12796.40,4552.27,sat,482.02,19.48,0.48,10.46,0.16,8.63,396.31,0.62,368.20,0.00,1.89,1.62,0.21,416.32,195.33,220.96,0.37,0.00,107.82,0.00,,0.00,
chc-lia-0366.smt2,3,,9,,,,3,3,,52,,1,,,84,,57,,,,,,,51,38,57,3,,1,,,,,,13504.68,4677.66,unsat,141.08,0.08,0.01,0.03,0.01,0.03,87.32,49.78,12.00,0.00,1.72,1.48,0.78,88.67,17.01,71.65,0.53,0.01,27.20,0.00,,0.00,4.91
chc-lia-0367.smt2,,761,209,,56,1,64,63,,246,1,976,7,,12486,42,935,,31,73,,,,633,9197,900,,221,,,,1,2504,4,2052.50,2013.63,timeout,598.66,11.92,0.77,2.67,0.55,8.11,522.86,312.31,103.34,0.24,1.38,1.13,1.94,551.10,112.05,438.72,3.33,4.90,1.68,56.89,0.00,56.89,0.25
chc-lia-0368.smt2,,,1,1,,,2,2,,5,,1,,4,8,,8,,,,,,,5,4,5,,,,,,,,,3613.72,1739.09,sat,49.30,0.43,0.02,0.08,0.01,0.33,35.76,0.03,30.89,0.00,2.76,2.38,0.00,36.23,30.60,5.62,0.01,0.00,0.00,0.00,,0.00,
chc-lia-0369.smt2,2,,2,,,,2,2,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,4766.40,2252.60,unsat,50.27,0.00,0.00,0.00,0.00,0.00,24.53,2.47,19.17,,2.87,2.49,0.08,24.65,9.58,15.06,0.05,0.00,,,,,0.47
chc-lia-0370.smt2,,153,470,,26,1,63,62,,256,,338,,1,3400,,624,,,,,,,252,1382,561,,184,,,,,1416,,1061.04,1044.14,timeout,598.65,47.96,3.06,16.51,1.39,28.54,486.78,0.90,455.57,0.06,2.78,1.84,7.31,551.55,158.11,392.65,11.97,1.28,78.82,164.55,0.00,164.55,
chc-lia-0371.smt2,,,122,10,1,,13,13,,172,,210,,92,1931,,242,,,,,,,196,937,228,,,,,,,,,18513.88,5950.71,sat,225.68,9.31,0.36,1.77,0.19,7.06,191.48,2.40,156.65,0.02,2.76,2.28,0.48,202.34,71.93,130.33,0.89,0.04,25.93,0.02,,0.02,
chc-lia-0372.smt2,,,61,5,,,7,7,,58,,61,,30,283,2,86,,,,,,,44,141,78,,,,,,,,,7574.80,2705.76,sat,116.43,1.13,0.07,0.34,0.04,0.68,95.46,0.32,84.54,0.00,1.38,1.08,0.05,96.84,44.52,52.29,0.12,0.00,0.00,0.00,,0.00,
chc-lia-0374.smt2,,,131,2,,,4,4,,141,,52,,74,355,1,152,,,,,,,101,158,147,,,,,,,,,21787.12,7062.47,sat,537.63,6.56,0.32,3.05,0.13,3.20,470.45,1.06,407.31,0.00,2.48,2.15,2.90,481.28,137.97,343.30,4.07,0.01,7.20,0.00,,0.00,
chc-lia-0375.smt2,,,176,4,,,7,7,,188,,182,,104,975,,267,,,,,,,210,475,259,,,,,,,,,17472.52,5499.95,sat,119.04,3.09,0.11,0.54,0.08,2.34,88.18,1.26,71.84,0.00,2.90,2.08,0.37,92.32,21.13,71.13,0.69,0.01,11.43,0.00,,0.00,
chc-lia-0376.smt2,,,,2,,,4,4,,8,,3,,5,19,,15,,,,,,,9,7,10,,,,,,,,,9089.88,2284.47,sat,75.28,1.21,0.02,0.12,0.01,1.06,42.11,33.49,0.09,0.00,1.58,1.20,0.02,43.41,29.13,14.26,0.05,0.00,0.01,0.00,,0.00,
chc-lia-0378.smt2,,,92,5,,,8,8,,89,,104,,48,496,,123,,,,,,,61,242,114,,,,,,,,,17052.72,5884.27,sat,222.33,5.34,0.26,1.25,0.14,3.72,150.93,0.56,118.95,0.00,3.54,2.85,0.40,157.40,56.49,100.85,0.84,0.00,11.66,0.00,,0.00,
chc-lia-0379.smt2,3,,82,,1,,3,3,,85,,1,,,52,,93,,,,,,,85,24,93,3,,2,,,,,,9353.92,3025.65,unsat,42.08,0.57,0.02,0.11,0.01,0.41,24.10,2.51,14.89,0.00,2.77,2.21,0.38,25.47,1.05,24.40,0.47,0.02,8.35,0.01,,0.01,0.50
chc-lia-0380.smt2,,,,4,,,6,6,,38,,54,,21,183,,53,,,,,,,39,76,47,,,,,,,,,7425.56,3085.44,sat,53.29,1.23,0.04,0.17,0.03,0.99,31.66,24.79,0.00,0.00,3.79,3.01,0.08,33.15,14.35,18.76,0.15,0.00,0.30,0.00,,0.00,
chc-lia-0381.smt2,,,203,2,,,4,4,,205,,3,,120,451,,212,,,,,,,148,332,207,,,,,,,,,19859.16,6465.01,sat,266.41,0.92,0.07,0.31,0.08,0.43,209.53,4.57,152.32,0.00,3.47,1.92,0.14,211.46,27.38,184.07,0.62,0.01,0.00,0.00,,0.00,
chc-lia-0382.smt2,,,13,,,,3,2,,15,,1,,,18,,18,,,,,,,15,1,15,,,,,,,,,3790.51,3784.30,timeout,597.76,0.54,0.03,0.14,0.02,0.35,450.37,0.15,316.83,0.00,9.22,8.26,0.03,451.01,160.34,290.66,0.05,0.00,0.00,0.00,,0.00,
chc-lia-0383.smt2,,,,,,,1,1,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,8578.36,2068.39,sat,106.50,0.00,0.00,0.00,0.00,0.00,0.05,0.00,,,3.23,2.81,0.00,0.06,0.00,0.06,0.00,0.00,,,,,
chc-lia-0384.smt2,,,,,,,1,1,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,8574.96,2064.91,sat,106.15,0.00,0.00,0.00,0.00,0.00,0.05,0.00,,,3.19,2.77,0.00,0.06,0.00,0.06,0.00,0.00,,,,,
chc-lia-0385.smt2,,,,,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,16326.22,1387.75,timeout,597.75,0.00,0.00,0.00,0.00,0.00,0.13,,,,5.04,2.85,,0.14,,0.13,,0.00,,,,,
chc-lia-0386.smt2,,595,564,,194,2,78,77,,234,,925,163,2,5207,60,959,,70,131,,,,291,2546,1190,,678,,430,,7,8105,13,3058.00,3056.62,timeout,596.97,4.29,0.46,1.71,0.69,1.16,194.34,33.81,129.91,0.16,11.46,9.67,4.02,277.88,36.01,240.94,8.08,29.28,21.10,122.84,0.00,122.84,0.85
chc-lia-0387.smt2,,,,,,,1,1,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,7488.56,4759.54,sat,75.59,0.01,0.00,0.00,0.00,0.00,13.62,0.00,,,12.10,11.02,0.00,13.63,0.02,13.61,0.00,0.00,,,,,
chc-lia-0388.smt2,,,30,2,,,3,3,,32,,1,,17,50,,37,,,,,,,33,31,33,,,,,,,,,15941.24,7049.70,sat,454.08,2.12,0.10,0.42,0.05,1.58,346.22,0.06,301.05,0.00,12.54,11.00,0.10,348.71,248.25,100.42,0.17,0.00,0.00,0.00,,0.00,
