index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0292.smt2,,,6,1,,8,8,,4,,10,83,,118,,44,605,1,117,,,,,,,85,307,104,,,,,,,,,1808.32,641.08,sat,4.75,2.75,0.56,1.12,0.00,0.22,0.16,0.05,3.00,0.91,,2.06,0.11,0.01,0.04,0.01,,0.01,
chc-lia-0294.smt2,,,2,,,3,3,,,,,46,,1,,35,120,,55,,,,,,,44,100,51,,,,,,,,,1976.52,773.30,sat,16.58,11.55,0.00,9.11,0.00,0.28,0.24,0.05,11.70,2.63,,9.06,0.11,0.00,1.24,0.00,,0.00,
chc-lia-0295.smt2,,107,,1,,5,5,,1,,1,123,1,11,,,304,,142,,,,,,,135,152,142,5,,3,,,,,,3475.92,1169.88,unsat,49.33,40.90,0.84,33.67,0.00,0.31,0.25,1.03,44.49,7.01,,37.46,3.29,0.03,5.52,0.01,,0.01,0.25
chc-lia-0296.smt2,,,3,,,7,7,,,,,164,,93,,82,587,,193,,,,,,,135,297,185,,,,,,,,,5260.56,1646.20,sat,17.84,14.74,0.55,9.97,0.00,0.40,0.30,0.16,15.23,1.82,,13.38,0.30,0.01,0.00,0.00,,0.00,
chc-lia-0297.smt2,,,,,,6,6,,,,,18,,21,,12,63,,37,,,,,,,18,23,30,,,,,,,,,969.32,395.21,sat,5.17,2.45,1.92,,0.00,0.23,0.12,0.02,2.55,0.46,,2.07,0.05,0.00,0.66,0.00,,0.00,
chc-lia-0298.smt2,,,,,,4,4,,,,,57,,2,,45,184,,64,,,,,,,50,136,59,,,,,,,,,1886.96,773.11,sat,13.58,9.64,5.81,0.12,0.00,0.28,0.22,0.07,9.87,2.01,,7.85,0.16,0.00,0.00,0.00,,0.00,
chc-lia-0299.smt2,,1,,,,2,2,,,,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,860.48,386.47,unsat,3.48,1.29,0.90,0.09,,0.33,0.26,0.02,1.33,0.40,,0.93,0.02,0.00,,,,,0.03
chc-lia-0302.smt2,,1,,,,2,2,,,,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,634.08,299.14,unsat,2.32,0.89,0.80,0.04,,0.25,0.18,0.00,0.90,0.03,,0.87,0.00,0.00,,,,,0.01
chc-lia-0303.smt2,,,2,,,4,4,,,,,30,,11,,21,77,,43,,,,,,,31,36,38,,,,,,,,,1938.08,804.94,sat,11.52,7.93,0.20,5.22,0.00,0.39,0.28,0.08,8.14,1.70,,6.42,0.17,0.00,1.89,0.00,,0.00,
chc-lia-0304.smt2,,60,,1,,3,3,,1,,1,54,1,1,,,22,,62,,,,,,,62,,62,3,,2,,,,,,2589.52,987.04,unsat,37.30,27.98,2.06,18.62,0.00,0.40,0.35,0.93,30.01,2.57,,27.43,1.70,0.02,16.73,0.01,,0.01,0.28
chc-lia-0305.smt2,20,335,,6,1,11,11,,67,,80,393,6,254,,14,5383,7,508,,12,,,,,617,3606,616,11,11,3,,,23,351,,10884.68,3299.90,unsat,105.49,96.79,15.44,60.07,0.02,0.41,0.27,0.88,100.77,27.16,,73.56,2.09,0.58,18.46,15.47,0.00,15.47,1.06
chc-lia-0306.smt2,,,6,,,10,10,,,,,60,,34,,47,437,6,113,,,,,,,87,237,102,,,,,,,,,1925.20,777.26,sat,29.55,25.09,0.17,16.05,0.00,0.49,0.40,0.09,25.54,6.59,,18.92,0.32,0.01,0.75,0.00,,0.00,
chc-lia-0310.smt2,,,,,,3,3,,,,,93,,2,,,53,,96,,,,,,,78,3,95,3,,1,,,,,,4557.28,1615.19,unsat,114.27,98.60,87.61,0.23,0.00,0.48,0.39,2.00,103.72,2.28,,101.44,4.55,0.01,56.08,0.00,,0.00,0.49
chc-lia-0311.smt2,,33,,1,,9,9,,1,,6,98,,149,,27,646,,171,,,,,,,107,269,169,9,,3,,,,,,3055.24,1043.03,unsat,5.52,2.74,1.05,0.43,0.00,0.44,0.33,0.26,3.25,0.78,,2.44,0.18,0.01,0.02,0.00,,0.00,0.19
chc-lia-0312.smt2,,,5,5,,7,7,,5,,20,76,,73,,36,362,,108,,,,,,,64,178,96,,,,,,,,,4428.20,1693.21,sat,45.19,38.44,0.40,31.43,0.00,0.56,0.47,0.21,38.95,9.13,,29.80,0.37,0.04,6.77,0.01,,0.01,
chc-lia-0313.smt2,,,4,,,8,8,,,,,42,,30,,34,294,,74,,,,,,,53,150,66,,,,,,,,,2180.88,865.34,sat,26.13,22.29,12.62,5.96,0.00,0.54,0.44,0.22,22.90,7.29,,15.58,0.48,0.01,5.93,0.00,,0.00,
chc-lia-0314.smt2,,971,,129,2,49,48,,1485,,1283,2540,503,21552,36,548,74279,72,5401,,122,442,,,1,7687,39283,8190,,281,,12,,613,43867,263,,12539.20,timeout,598.22,424.46,298.68,34.55,2.22,1.02,0.86,3.72,569.70,108.05,,461.35,10.06,64.85,30.93,278.07,0.00,278.07,5.47
chc-lia-0315.smt2,,160,,,,3,3,,,,,164,,1,,,81,,176,,,,,,,170,6,176,3,,1,,,,,,7788.12,2548.42,unsat,89.90,73.42,4.50,52.49,0.00,0.65,0.48,2.67,78.73,10.29,,68.43,4.67,0.02,23.22,0.00,,0.00,0.63
chc-lia-0316.smt2,,,1,,,1,1,,,,,5,,,,4,8,,6,,,,,,,5,7,4,,,,,,,,,2510.68,1352.82,sat,44.14,19.71,0.95,1.32,,0.49,0.45,0.04,19.86,13.32,,6.54,0.14,0.00,0.00,0.00,,0.00,
chc-lia-0317.smt2,,,1,,,3,3,,,,,6,,1,,5,9,,13,,,,,,,7,2,9,,,,,,,,,1234.16,601.87,sat,14.75,10.72,0.06,9.19,0.00,0.38,0.29,0.01,10.76,7.78,,2.97,0.01,0.00,0.36,0.00,,0.00,
chc-lia-0318.smt2,,1205,32,73,1,34,34,,480,,208,121,6,548,,176,6261,20,1116,,126,3,,,,310,3646,1020,,874,,,,24,3933,41,5073.44,2349.38,sat,217.61,177.16,32.68,120.65,0.10,0.54,0.48,5.38,206.84,56.49,,150.18,8.58,6.00,2.03,69.31,0.00,69.31,9.98
chc-lia-0319.smt2,,147,,,,5,5,,,,,151,,68,,3,521,,163,,,,,,,144,268,163,5,,2,,,,,,10195.60,3137.12,unsat,88.17,66.19,4.01,49.13,0.00,0.67,0.55,2.01,70.29,13.90,,56.38,3.67,0.01,7.79,0.00,,0.00,0.56
chc-lia-0321.smt2,,65,,179,2,72,71,,116,,5,247,,444,112,,5501,639,843,,82,357,,,,863,3785,3497,,536,,371,,103,12512,13,,625.69,timeout,598.34,237.53,199.41,8.76,0.32,0.67,0.54,4.50,269.88,29.52,,240.00,11.12,7.05,0.49,143.90,0.00,143.90,1.61
chc-lia-0323.smt2,,105,,1,,3,3,,3,,3,107,3,1,,,139,,112,,,,,,,107,69,112,3,,1,,,,,,9236.92,2916.30,unsat,113.29,91.64,5.29,70.20,0.00,0.68,0.55,2.92,97.62,7.70,,89.91,5.27,0.05,31.38,0.03,,0.03,0.85
chc-lia-0328.smt2,33,75,,13,1,9,9,,56,,68,469,2,330,,54,2518,28,762,,7,80,,,,650,1414,826,9,16,1,,,11,736,,21939.52,6162.77,unsat,87.03,68.39,37.64,14.39,0.01,0.87,0.57,2.72,74.97,7.26,,67.66,4.62,0.51,17.82,2.31,0.00,2.31,1.20
chc-lia-0329.smt2,,64,,,,3,3,,,,,63,,1,,,99,,66,,,,,,,61,48,66,3,,2,,,,,,3944.68,1321.53,unsat,15.07,7.01,1.73,2.98,0.00,0.49,0.36,0.07,7.24,1.04,,6.20,0.14,0.00,1.90,0.00,,0.00,0.07
chc-lia-0331.smt2,,146,,,,5,5,,,,,155,,70,,1,498,1,168,,,,,,,130,174,167,5,,3,,,,,,10709.72,3351.68,unsat,116.79,87.57,2.65,76.24,0.00,0.86,0.70,1.52,90.31,22.39,,67.90,2.37,0.01,10.22,0.00,,0.00,1.15
chc-lia-0333.smt2,,,12,4,,14,14,,4,,7,419,3,818,,270,6167,19,549,,,,,,,369,3131,533,,,,,,,,,23985.64,6836.76,sat,174.73,146.67,4.50,118.93,0.03,0.92,0.73,1.02,149.42,28.01,,121.33,1.77,0.09,0.13,0.04,,0.04,
chc-lia-0334.smt2,,,5,,,8,8,,,,,84,,9,,26,324,,117,,,,,,,94,112,108,,,,,,,,,5021.32,2395.14,sat,131.45,96.04,3.55,60.05,0.00,0.93,0.78,3.56,100.94,39.82,,61.09,4.66,0.02,29.67,0.00,,0.00,
chc-lia-0335.smt2,,251,,,,3,3,,,,,247,,1,,,279,,258,,,,,,,238,137,259,3,,2,,,,,,25410.68,7373.71,unsat,117.46,94.22,2.77,69.75,0.00,1.34,1.10,0.58,95.48,8.79,,86.68,0.94,0.02,5.65,0.00,,0.00,0.24
chc-lia-0336.smt2,,,16,7,1,32,32,,,,,176,5,454,,97,2919,,487,,16,5,,,,166,1505,455,,11,,,,,,,12018.92,3777.15,sat,125.44,111.76,1.25,85.30,0.01,1.32,1.05,0.51,113.71,38.60,,74.94,0.95,0.08,15.08,2.24,0.00,2.24,0.02
chc-lia-0337.smt2,,,,,,3,3,,,,,9,,2,,7,12,,15,,,,,,,7,4,11,,,,,,,,,1510.52,735.81,sat,7.86,3.40,2.61,,0.00,1.20,1.02,0.01,3.44,1.71,,1.73,0.02,0.00,0.41,0.00,,0.00,
chc-lia-0339.smt2,,,2,,,5,5,,,,,122,,38,,71,338,,147,,,,,,,109,167,141,,,,,,,,,12867.16,4080.93,sat,61.13,47.22,1.28,37.63,0.00,1.08,0.93,0.65,48.49,13.11,,35.36,1.12,0.01,8.39,0.00,,0.00,
chc-lia-0340.smt2,,1055,,216,1,36,35,,466,,385,1662,29,14132,19,70,50946,131,6420,,146,1154,,,1,4573,22762,7626,,784,,,,188,9161,31,,40486.43,timeout,597.19,336.90,97.98,71.73,0.78,1.59,1.11,7.13,525.86,98.39,,427.13,13.90,77.11,6.04,108.76,0.00,108.76,5.52
chc-lia-0341.smt2,,,4,2,,10,10,,12,,32,17,,18,,16,103,2,64,,,,,,,45,41,48,,,,,,1,,,2084.72,894.69,sat,12.47,6.24,0.10,4.82,0.00,1.44,1.14,0.03,6.46,2.90,,3.51,0.06,0.04,0.03,0.03,,0.03,0.17
chc-lia-0342.smt2,,770,,8,,5,5,,4,,5,760,6,49,,46,1762,,792,,,,,,,744,978,790,5,,4,,,,,,25626.76,7507.21,unsat,378.04,344.65,23.11,236.82,0.02,1.44,1.11,2.38,351.55,32.25,,319.27,4.38,0.70,72.31,0.11,,0.11,1.38
chc-lia-0345.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,1578.76,812.77,sat,7.45,0.64,0.00,,,1.69,1.40,0.00,0.65,0.00,,0.64,0.00,0.00,,,,,
chc-lia-0346.smt2,,,6,,,7,7,,,,,278,,81,,155,1263,2,294,,,,,,,280,760,286,,,,,,,,,14101.48,4756.96,sat,152.06,119.50,27.06,76.59,0.01,1.46,1.27,0.82,121.47,35.96,,85.48,1.56,0.01,0.15,0.00,,0.00,
chc-lia-0347.smt2,,940,,111,1,18,17,,320,,,469,,997,315,,4902,,1378,,266,,,,,1025,1532,2095,,632,,,,31,4658,27,,2595.69,timeout,598.31,134.60,52.46,60.36,0.13,1.58,1.24,6.68,161.19,25.87,,135.21,11.49,5.84,9.04,44.51,0.00,44.51,7.55
chc-lia-0348.smt2,,200,,,,3,3,,,,,198,,1,,,494,,203,,,,,,,201,298,203,3,,1,,,,,,35958.04,10108.53,unsat,139.72,101.23,5.15,67.09,0.00,1.65,1.29,1.89,104.51,10.50,,93.99,2.49,0.02,7.13,0.00,,0.00,1.34
chc-lia-0349.smt2,,36,,,,5,5,,,,,44,,23,,1,132,,57,,,,,,,34,49,57,5,,1,,,,,,7358.16,2740.19,unsat,88.68,46.18,3.25,34.35,0.00,1.61,1.28,0.27,46.76,15.27,,31.46,0.30,0.00,3.36,0.00,,0.00,2.52
chc-lia-0350.smt2,,,6,4,1,9,9,,7,,11,283,6,190,,238,2658,,377,,,,,,,343,1786,366,,,,,,,586,2,19984.40,6465.53,sat,406.58,363.47,4.04,321.79,0.02,1.48,1.24,3.15,369.95,65.59,,304.31,5.42,0.19,40.30,110.69,0.00,110.69,
chc-lia-0353.smt2,,,,1,,7,6,,1,,,510,,80,,13,2220,3,574,,,,,,,557,1132,568,,,,,,,,,,4665.32,timeout,598.39,558.11,28.39,444.15,0.03,1.45,1.25,8.25,573.18,88.60,,484.56,13.94,0.23,72.76,0.01,,0.01,0.12
chc-lia-0354.smt2,,,,22,1,12,12,,30,,84,229,15,365,,463,6681,20,734,,,,,,,642,4348,702,,,,,,,420,,56786.92,15577.55,sat,311.74,292.78,18.89,140.64,0.05,1.70,1.34,2.71,299.27,51.55,,247.63,3.63,0.66,35.49,42.64,0.00,42.64,
chc-lia-0356.smt2,,,9,22,1,11,11,,55,,141,567,,571,,398,5947,3,756,,6,2,,,,735,3214,779,,,,,,8,516,,43783.40,13047.03,sat,435.53,330.01,22.77,239.76,0.06,1.74,1.47,4.46,340.71,113.20,,227.45,7.04,1.27,23.28,2.13,0.00,2.13,1.81
chc-lia-0358.smt2,,,,,,3,3,,,,,11,,2,,8,14,,17,,,,,,,8,5,13,,,,,,,,,3814.92,1745.03,sat,62.32,46.25,38.87,,0.00,2.01,1.65,0.01,46.33,29.61,,16.70,0.02,0.00,4.12,0.00,,0.00,
chc-lia-0359.smt2,,,,12,,5,4,,12,,13,165,,28,,,471,,194,,,,,,,165,156,185,,,,,,,,,,4780.64,timeout,599.23,91.75,8.67,64.29,0.00,2.24,2.00,1.08,94.06,35.42,,58.62,1.56,0.36,0.11,0.17,,0.17,1.76
chc-lia-0360.smt2,,,4,8,,7,7,,8,,9,170,2,105,,91,719,9,222,,,,,,,177,341,210,,,,,,,,,12194.00,3875.84,sat,150.35,131.32,4.17,100.79,0.00,2.02,1.41,0.27,132.36,30.45,,101.85,0.50,0.07,20.28,0.03,,0.03,1.75
chc-lia-0362.smt2,,,,,,,2,,,,,4,,,,4,4,,7,,,,,,,4,2,4,,,,,,,,,9900.44,1927.87,sat,205.28,10.01,0.97,,,0.43,0.35,0.01,10.14,6.74,,3.40,0.13,0.00,0.00,0.00,,0.00,
chc-lia-0363.smt2,,,,6,1,7,6,,10,,13,324,7,51,,4,1633,,389,,,,,,,370,849,379,,,,,,,754,,,6374.48,timeout,598.67,474.31,6.48,434.78,0.01,2.32,2.04,1.35,477.85,54.16,,423.66,2.17,0.45,45.86,251.08,0.00,251.08,0.01
chc-lia-0364.smt2,,,1,,,3,3,,,,,101,,1,,51,104,,106,,,,,,,78,49,102,,,,,,,,,9024.08,3091.06,sat,94.32,74.27,4.68,58.14,0.00,1.52,1.16,0.21,74.84,14.66,,60.17,0.47,0.00,0.00,0.00,,0.00,
chc-lia-0365.smt2,,,3,,,6,6,,,,,91,,11,,51,263,,132,,,,,,,62,149,126,,,,,,,,,12795.96,4551.94,sat,476.91,416.37,0.64,387.51,0.00,1.93,1.66,0.22,416.89,202.53,,214.33,0.38,0.00,113.51,0.00,,0.00,
chc-lia-0366.smt2,,9,,,,3,3,,,,,52,,1,,,84,,57,,,,,,,51,38,57,3,,1,,,,,,13504.56,4677.54,unsat,143.42,88.70,50.77,12.23,0.00,1.76,1.52,0.77,89.94,17.54,,72.38,0.52,0.00,27.47,0.00,,0.00,5.09
chc-lia-0367.smt2,,,19,12,,21,21,,109,,352,117,1,414,,85,1718,16,532,,,,,,,508,862,509,,9,,,,26,,,5814.40,2224.47,sat,247.29,224.59,183.54,6.01,0.02,1.38,1.11,1.34,229.06,48.03,,180.94,2.16,0.87,3.24,0.79,,0.79,2.10
chc-lia-0368.smt2,,,1,,,2,2,,,,,5,,1,,4,8,,8,,,,,,,5,4,5,,,,,,,,,3613.56,1738.93,sat,48.39,35.41,0.03,30.56,0.00,2.71,2.34,0.00,35.44,30.27,,5.16,0.01,0.00,0.00,0.00,,0.00,
chc-lia-0369.smt2,,2,,,,2,2,,,,,2,,,,,2,,3,,,,,,,3,,3,2,,1,,,,,,4766.40,2252.60,unsat,49.43,24.16,2.43,18.85,,2.87,2.49,0.08,24.28,9.48,,14.80,0.05,0.00,,,,,0.45
chc-lia-0370.smt2,,56,,197,1,109,108,,511,,953,1025,,10127,16,1,48857,43,4202,,132,710,,,,4048,32912,5022,,812,,,,133,4179,,,2934.75,timeout,596.49,459.16,240.31,58.25,2.76,2.85,1.90,4.65,556.43,209.23,,345.72,11.35,36.49,49.17,86.00,0.00,86.00,7.24
chc-lia-0371.smt2,,,10,,,13,13,,,,,170,,207,,91,1915,,240,,,,,,,194,930,226,,,,,,,,,18514.24,5951.17,sat,209.15,184.75,2.36,152.35,0.02,2.74,2.26,0.46,186.17,72.61,,113.49,0.86,0.02,23.55,0.00,,0.00,
chc-lia-0372.smt2,,,5,,,7,7,,,,,58,,61,,30,283,2,86,,,,,,,44,141,78,,,,,,,,,7575.04,2705.71,sat,111.09,91.31,0.33,80.67,0.00,1.34,1.03,0.05,91.55,43.51,,48.01,0.12,0.00,0.00,0.00,,0.00,
chc-lia-0374.smt2,,,2,,,4,4,,,,,140,,52,,73,351,1,151,,,,,,,98,154,146,,,,,,,,,21774.76,7020.15,sat,534.80,474.63,1.06,412.74,0.00,2.47,2.13,2.82,478.76,124.60,,354.15,3.97,0.00,14.86,0.00,,0.00,
chc-lia-0375.smt2,,,4,,,7,7,,,,,185,,182,,101,953,,264,,,,,,,207,452,256,,,,,,,,,17400.28,5481.10,sat,112.55,86.89,1.22,71.02,0.00,2.94,2.11,0.36,87.89,20.28,,67.55,0.67,0.01,11.49,0.00,,0.00,
chc-lia-0376.smt2,,,,,,4,4,,,,,8,,3,,5,19,,15,,,,,,,9,7,10,,,,,,,,,9089.88,2286.19,sat,72.36,41.36,32.96,0.09,0.00,1.43,1.07,0.02,41.45,27.71,,13.72,0.05,0.00,1.16,0.00,,0.00,
chc-lia-0378.smt2,,,5,,,8,8,,,,,89,,105,,48,493,1,123,,,,,,,61,239,114,,,,,,,,,17054.16,5884.50,sat,210.03,140.55,0.60,109.38,0.00,3.47,2.79,0.37,141.57,52.45,,89.06,0.76,0.00,9.17,0.00,,0.00,
chc-lia-0379.smt2,,87,,1,,3,3,,1,,1,91,,1,,,52,,99,,,,,,,92,24,98,3,,2,,,,,,9331.96,3020.81,unsat,47.25,29.01,2.72,19.27,0.00,2.88,2.32,0.55,30.28,1.17,,29.10,0.93,0.02,11.58,0.00,,0.00,0.22
chc-lia-0380.smt2,,,4,,,6,6,,,,,38,,54,,21,183,,53,,,,,,,33,76,47,,,,,,,,,7425.32,3084.74,sat,52.94,32.21,23.34,2.03,0.00,4.02,3.22,0.08,32.46,13.10,,19.32,0.15,0.00,1.32,0.00,,0.00,
chc-lia-0381.smt2,,,2,,,4,4,,,,,205,,3,,120,451,,212,,,,,,,148,332,207,,,,,,,,,19857.16,6463.20,sat,247.08,189.66,4.63,138.01,0.00,3.40,1.85,0.13,190.61,26.15,,164.44,0.60,0.01,0.00,0.00,,0.00,
chc-lia-0382.smt2,,,,,,3,2,,,,,15,,1,,,18,,18,,,,,,,15,1,15,,,,,,,,,,3786.76,timeout,597.61,430.19,0.15,306.60,0.00,8.81,7.87,0.04,430.29,154.78,,275.50,0.05,0.00,0.00,0.00,,0.00,
chc-lia-0383.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,8578.36,2068.39,sat,103.08,0.05,0.00,,,3.03,2.62,0.00,0.05,0.00,,0.05,0.00,0.00,,,,,
chc-lia-0384.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,8574.96,2064.91,sat,105.05,0.05,0.00,,,3.09,2.68,0.00,0.06,0.00,,0.05,0.00,0.00,,,,,
chc-lia-0385.smt2,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,1352.01,timeout,597.73,0.12,,,,4.68,2.64,,0.12,,,0.12,,0.00,,,,,
chc-lia-0386.smt2,,61,,211,2,77,76,,118,,11,288,,1592,104,,7620,514,1090,,125,439,,,,1097,4536,5056,,596,,464,,144,11188,3,,2975.23,timeout,595.30,409.15,300.70,38.17,0.51,11.35,9.58,20.49,532.29,29.26,,502.06,40.53,33.74,12.18,234.59,0.01,234.59,2.90
chc-lia-0387.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,7488.56,4759.54,sat,72.89,13.32,0.00,,,11.53,10.47,0.00,13.32,0.01,,13.30,0.00,0.00,,,,,
chc-lia-0388.smt2,,,2,,,3,3,,,,,32,,1,,17,50,,37,,,,,,,33,31,33,,,,,,,,,15940.96,7049.33,sat,450.93,338.85,0.06,294.17,0.00,11.81,10.28,0.10,339.21,242.61,,96.57,0.17,0.00,0.00,0.00,,0.00,
chc-lia-0389.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,8070.08,5178.36,sat,72.37,5.46,0.00,,,13.85,12.34,0.00,5.46,0.01,,5.44,0.00,0.00,,,,,
chc-lia-0390.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,6389.32,3983.74,sat,78.23,0.46,0.00,,,10.06,8.61,0.00,0.46,0.00,,0.46,0.00,0.00,,,,,
chc-lia-0391.smt2,,,4,,,6,6,,,,,19,,10,,11,85,,30,,,,,,,11,45,23,,,,,,,,,18309.72,9660.86,sat,587.58,455.87,0.05,132.12,0.00,16.29,14.61,1.11,457.23,345.16,,112.05,1.29,0.00,0.00,0.00,,0.00,
chc-lia-0395.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,14774.72,9202.08,sat,253.04,0.53,0.00,,,31.00,27.28,0.00,0.53,0.00,,0.52,0.00,0.00,,,,,
chc-lia-0396.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,25657.52,17939.67,sat,241.41,0.78,0.00,,,59.15,54.08,0.00,0.78,0.00,,0.78,0.00,0.00,,,,,
chc-lia-0400.smt2,,,,,,,1,,,,,2,,,,2,1,,3,,,,,,,2,1,1,,,,,,,,,28.00,10.04,sat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0401.smt2,,,,,,3,3,,,,,7,,1,,2,15,,9,,,,,,,6,8,8,3,,1,,,,,,45.36,14.82,unsat,0.07,0.03,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.03,0.00,0.00,0.01,0.00,,0.00,0.00
chc-lia-0402.smt2,,,,,,2,2,,,,,3,,,,2,2,,5,,,,,,,2,,2,,,,,,,,,28.96,10.63,sat,0.04,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0403.smt2,,,,,,,1,,,,,3,,,,3,2,1,4,,,,,,,3,2,2,,,,,,,,,18.88,6.90,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0404.smt2,,,,,,2,2,,,,,6,,1,,5,9,1,9,,,,,,,5,5,6,,,,,,,,,29.28,10.58,sat,0.05,0.02,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.01,0.00,,0.00,
chc-lia-0405.smt2,,,,2,1,4,4,,2,2,,9,,5,,11,28,4,21,,,,,,,10,11,16,2,,2,,,,,,27.20,12.01,sat,0.10,0.05,0.02,,0.00,0.00,0.00,0.00,0.08,0.01,,0.06,0.01,0.01,0.01,0.01,0.00,0.01,0.00
chc-lia-0406.smt2,,,,1,,3,3,,1,1,,9,,2,,7,22,,13,,,,,,,8,14,9,1,,1,,,,,,23.80,10.33,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.03,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0407.smt2,,,,1,,5,5,,6,3,5,9,,3,,4,23,,17,,,,,,,10,8,12,2,,2,,,1,,,22.96,9.85,sat,0.07,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,,0.04,0.00,0.00,0.01,0.00,,0.00,0.00
chc-lia-0408.smt2,,,,,,2,2,,,,,3,,,,2,3,1,5,,,,,,,2,1,2,,,,,,,,,18.12,6.66,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0409.smt2,,,,2,1,5,5,,3,3,,4,,10,3,6,18,2,19,,,,,,,7,2,15,,,,,,,,,21.64,8.61,sat,0.07,0.02,0.01,,0.00,0.00,0.00,0.00,0.05,0.00,,0.04,0.00,0.00,0.00,0.01,0.00,0.01,0.00
chc-lia-0410.smt2,,2119,,461,1,108,107,,490,205,44,421,3093,7339,417,8,30003,36,4587,,812,,76,,,1114,12520,6049,283,1198,281,,,53,444,32,,473.06,timeout,596.13,518.65,136.03,60.36,1.62,0.00,0.00,1.51,587.67,114.66,,472.40,4.28,25.03,69.39,51.07,0.01,51.07,54.23
chc-lia-0411.smt2,,2909,,261,2,101,100,,22,5,2,682,1544,2151,215,46,29548,131,4476,,1071,106,32,,,736,17074,5814,32,1780,32,1382,,139,120,13,,541.63,timeout,596.50,481.96,130.09,69.01,1.74,0.00,0.00,1.51,546.92,117.05,,429.31,5.09,20.29,53.42,68.71,0.02,68.71,22.47
chc-lia-0412.smt2,,,,,,3,3,,,,,5,,3,,3,6,,9,,,,,,,3,,5,,,,,,,,,23.56,8.52,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0413.smt2,,,,3,,8,8,,,,,31,,33,,20,124,,67,,,,,,1,29,44,58,,,,,,,,,42.00,18.26,sat,0.21,0.10,0.05,,0.00,0.00,0.00,0.01,0.18,0.03,,0.13,0.02,0.01,0.02,0.00,,0.00,
chc-lia-0414.smt2,,,,,,3,3,,,,,7,,1,,,8,,9,,,,,,,7,,8,3,,1,,,,,,33.92,9.06,unsat,0.04,0.01,0.01,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,0.00
