index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0022.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,3.85,sat,0.00,,,,,,,,,,0.00,,,,,,,,,,,,
chc-lia-nonlin-0023.smt2,,,,,,,,,3,1,4,3,,,10,,2,2,6,20,3,16,,13,11,2,,,11,10,4,2,2,339.89,339.47,timeout,599.28,0.01,0.00,0.00,0.00,0.00,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.04,0.00,0.00,0.01,0.00,0.00,
chc-lia-nonlin-0024.smt2,,17009,,,,,34040,,184,1,186,185,,16834,187,,17204,,,17574,,17391,,369,,,,,17205,,,17018,,710.06,649.83,timeout,594.91,17.03,4.00,10.46,1.67,1.62,495.83,2.95,261.42,1.02,0.00,0.00,2.52,589.64,5.92,,582.85,16.23,13.67,3.43,29.57,0.02,
chc-lia-nonlin-0025.smt2,,,,,,,,1,,,1,1,,,1,,,,1,,,1,,1,,,,,,,,,,13.16,5.04,sat,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,
chc-lia-nonlin-0026.smt2,,,,,,,,1,,,3,3,,,4,,1,,3,5,,8,,3,1,,,,4,1,,,,22.64,7.94,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0027.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,2,,2,,,2,1,,,,31.08,7.44,unsat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,,,,0.00
chc-lia-nonlin-0028.smt2,,,,,,,,,,,1,1,,,1,,,,,,,1,,1,,1,,,,3,,,,26.60,6.24,unsat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0029.smt2,,,,,,,,1,,,2,2,,,5,,,,6,13,,9,,6,11,,,,6,,,,,24.88,9.44,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0030.smt2,,,,,,,,,,,2,2,,,4,,,,1,6,1,5,,5,3,2,,,4,3,,,,32.56,8.13,unsat,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0031.smt2,,,,,,,,,,,2,2,,,3,,,,1,5,,4,,3,3,2,,,3,5,,,,28.32,6.91,unsat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0032.smt2,,,,,,,,1,,,2,2,,,5,,,,6,13,,9,,6,11,,,,6,,,,,24.96,9.45,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0033.smt2,,176,,18,6,7,70,23,76,3,23,23,143,77,134,,364,26,185,1570,58,360,,528,867,288,216,3,388,1047,132,259,132,392.20,195.19,sat,13.30,0.59,0.21,0.32,0.07,0.15,7.51,4.18,0.62,0.11,0.00,0.00,0.24,13.03,1.87,0.23,11.02,0.45,1.31,2.27,2.36,0.00,0.25
chc-lia-nonlin-0034.smt2,6,,,1,4,2,,,1,,5,5,,,5,,3,,,13,,10,,10,3,8,,,9,8,,,,35.20,9.64,unsat,0.06,0.00,0.00,0.00,0.00,0.00,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0035.smt2,,1513,,52,52,,,100,139,1,101,101,,2268,106,,292,96,156,16269,9,1719,,561,13054,199,,,1706,206,1326,1234,,1744.68,1133.74,sat,99.15,3.47,0.74,1.84,0.45,0.78,82.91,23.10,,0.57,0.00,0.00,0.83,98.21,38.10,0.17,59.65,2.04,2.78,4.47,3.61,0.00,2.74
chc-lia-nonlin-0036.smt2,12,,,7,9,8,,,2,,9,9,,,11,,9,,2,52,,20,,27,28,16,,,20,20,,,,43.48,14.69,unsat,0.15,0.00,0.00,0.00,0.00,0.00,0.05,0.02,,0.00,0.00,0.00,0.01,0.12,0.02,0.00,0.07,0.01,0.01,0.01,0.00,,0.01
chc-lia-nonlin-0037.smt2,,,,,,,,,,,3,3,,,3,,1,,,4,,5,,5,,5,,,4,4,,,,28.96,7.33,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0038.smt2,,,,,,,,3,,,5,5,,,6,,3,,3,14,,12,,3,4,,,,7,,,,,26.60,9.16,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0039.smt2,,,,,,,,2,,,4,4,,,6,,4,,4,12,,13,,4,3,,,,8,4,,,,27.04,9.20,sat,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0040.smt2,,,,,,,,,,,1,1,,,5,,,,5,,,6,,6,,,,,4,3,,,,19.80,7.50,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0041.smt2,,,,,,,,,,,1,1,,,1,,,,,,,1,,1,,1,,,,2,,,,26.92,6.42,unsat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0042.smt2,,,,,,,,1,,,1,1,,,1,,,,1,,,1,,1,,,,,,,,,,13.32,5.16,sat,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,
chc-lia-nonlin-0043.smt2,,1476,,20,10,10,,,522,1,291,290,,,1740,173,83803,1141,1159,85543,198,2030,,2042,870,299,,,1738,876,1141,1141,,494.62,481.35,timeout,597.59,47.52,14.02,25.18,5.95,13.44,116.87,63.64,,75.00,0.00,0.00,6.01,593.70,94.33,4.88,497.78,16.19,164.48,59.93,166.60,0.02,0.01
chc-lia-nonlin-0044.smt2,,,,,,,,1,,,2,2,,,4,,,,3,4,,6,,3,2,,,,3,,,,,22.60,7.95,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0045.smt2,,,,,,,,1,,,2,2,,,6,,,,5,10,,8,,5,6,,,,5,,,,,31.44,10.60,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0046.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,2,,2,,,2,2,,,,31.72,7.85,unsat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,,,,0.00
chc-lia-nonlin-0047.smt2,,,,13,12,2,,7,1,,8,8,,,15,9,20,,11,88,,37,,25,43,,,,27,5,,,,27.88,13.21,sat,0.18,0.01,0.00,0.01,0.00,0.00,0.06,0.03,,0.00,0.00,0.00,0.01,0.16,0.02,0.00,0.11,0.01,0.01,0.01,0.01,,0.00
chc-lia-nonlin-0048.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,2,1,,,,1,,,,,17.96,6.56,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0049.smt2,,,,,,,,1,,,2,2,,,3,,,,2,3,,5,,2,1,,,,2,,,,,26.20,8.83,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0050.smt2,,1034,,20,9,11,,,427,1,370,369,,,1225,109,77110,811,829,77933,44,1594,,1726,158,377,,,1222,1112,811,811,,298.45,283.42,timeout,599.12,35.48,17.50,24.99,1.55,7.30,62.81,41.00,,24.47,0.00,0.00,3.93,599.05,31.00,8.10,566.08,9.60,229.66,25.50,230.63,0.02,0.01
chc-lia-nonlin-0051.smt2,,,,,,,,1,,,2,2,,,4,,,,3,6,,6,,3,4,,,,3,,,,,19.08,7.13,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0052.smt2,,,,,,,,,,,2,2,,,3,,,,3,3,,6,,3,1,,,,3,1,,,,18.72,7.02,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0053.smt2,8,,,4,4,4,,,2,,8,8,,,8,,7,,,31,,17,,17,11,11,,,16,14,,,,38.80,11.72,unsat,0.10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,,0.00,0.00,0.00,0.01,0.08,0.01,0.00,0.04,0.01,0.00,0.00,0.00,,0.01
chc-lia-nonlin-0054.smt2,,,,,,,,,,,1,1,,,4,,,,5,,,6,,6,,,,,4,7,,,,20.00,7.53,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0055.smt2,,695,,2,2,,,,717,1,363,362,,,1086,355,65694,714,722,67461,,1448,,1089,1043,363,,,1084,724,714,714,,303.51,303.25,timeout,598.69,32.55,10.51,17.06,4.25,9.51,79.78,46.16,,40.55,0.00,0.00,3.02,597.25,55.61,5.68,539.80,7.16,215.10,37.79,216.01,0.02,0.00
chc-lia-nonlin-0056.smt2,,1598,,30,10,20,,,547,1,302,301,,,1804,91,90292,1176,1201,91648,234,2105,,2132,452,310,,,1802,909,1176,1176,,532.51,532.18,timeout,598.03,44.27,15.00,24.60,5.14,12.50,110.27,80.43,,88.30,0.00,0.00,6.09,596.65,100.49,4.48,494.67,15.78,165.24,66.91,167.10,0.02,0.00
chc-lia-nonlin-0057.smt2,,,,,,,,1,,,2,2,,,3,,,,2,3,,5,,2,1,,,,2,,,,,22.08,7.91,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0058.smt2,,,,,,,,1,,,1,1,,,1,,,,1,,,1,,1,,,,,,,,,,13.28,5.08,sat,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,
chc-lia-nonlin-0059.smt2,,,,,,,,1,,,1,1,,,1,,,,1,,,1,,1,,,,,,,,,,13.28,5.08,sat,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,
chc-lia-nonlin-0060.smt2,,,,,,,,1,,,2,2,,,3,,,,2,3,,5,,2,1,,,,2,,,,,22.00,7.86,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0061.smt2,3,,,,,,,,,,3,3,,,6,,1,,1,11,,8,,5,4,3,,,7,3,,,,33.76,8.86,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0062.smt2,4,,,,,,,,,,4,4,,,9,,3,,1,14,,15,,9,4,4,,,14,7,,,,39.72,11.00,unsat,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0063.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,2,1,,,,1,,,,,17.76,6.45,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0064.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,3,2,,,,2,,,,,17.92,6.60,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0065.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,2,1,,,,1,,,,,18.36,6.92,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0066.smt2,,,,,,,,1,,,2,2,,,5,,,,3,5,,7,,3,2,,,,4,4,,,,28.60,10.39,sat,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.01,,,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0067.smt2,1,,,,,,,,,,1,1,,,1,,,,,,,1,,1,,1,,,,1,,,,26.48,6.16,unsat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0068.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,2,1,,,,1,,,,,18.76,6.86,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0069.smt2,,,,,,,,,,,1,1,,,1,,,,,,,1,,1,,1,,,,5,,,,28.04,6.94,unsat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0070.smt2,,,,10,7,2,,5,8,1,7,7,,,28,,31,5,23,104,2,53,,50,44,17,,,46,59,11,4,1,65.92,28.20,sat,0.28,0.02,0.01,0.01,0.00,0.01,0.13,0.06,,0.00,0.00,0.00,0.01,0.25,0.03,0.00,0.19,0.01,0.02,0.04,0.01,0.00,0.01
chc-lia-nonlin-0071.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,2,1,,,,1,,,,,26.20,9.18,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0072.smt2,,,,,,,,2,,,4,4,,,5,,1,,3,11,,9,,3,4,,,,5,,,,,23.08,8.11,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0073.smt2,,,,,,,,2,,,4,4,,,5,,1,,3,11,,9,,3,4,,,,5,,,,,23.08,8.11,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0074.smt2,,26,,2,114,41,,3,38,1,5,5,,,8,,7,35,44,63,,59,,165,46,117,,,51,288,,35,,241.28,109.49,sat,1.88,0.04,0.01,0.02,0.01,0.01,1.03,0.69,,0.00,0.01,0.00,0.09,1.80,0.02,0.18,1.76,0.04,0.17,0.41,0.22,0.00,
chc-lia-nonlin-0075.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,2,4,,3,2,,,,2,,,,,25.84,9.06,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0076.smt2,,,,,,,,3,,,4,4,,,9,,4,,5,19,1,14,,7,9,3,,,10,12,,,,45.12,16.36,sat,0.08,0.00,0.00,0.00,0.00,0.00,0.03,0.01,,0.00,0.01,0.00,0.00,0.05,0.01,0.00,0.04,0.00,0.00,0.01,0.00,,0.00
chc-lia-nonlin-0077.smt2,,7,136,81,1,54,53,11,15,4,18,18,8,25,184,6,764,20,924,7880,119,1214,158,1073,5562,31,28,18,1141,976,108,93,9,3185.04,1876.52,sat,558.08,8.33,3.29,5.25,0.92,1.65,520.84,338.84,3.97,2.66,0.00,0.00,0.58,553.73,117.41,0.10,436.23,3.09,12.80,271.19,3.30,0.00,0.26
chc-lia-nonlin-0078.smt2,,,,,,,,,,,5,4,,,12,,8,,3,44,,21,,13,19,3,,,16,22,,,,616.60,616.11,timeout,599.14,0.00,0.00,0.00,0.00,0.00,0.04,0.01,,0.00,0.01,0.00,0.00,0.07,0.01,0.00,0.05,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0079.smt2,,,,,,,,1,,,2,2,,,5,,,,6,13,,9,,6,11,,,,6,,,,,25.24,9.56,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0080.smt2,8,,,,,,,,,,7,7,,,10,,4,,3,39,,19,,21,19,18,,,19,27,,,,83.44,30.29,unsat,0.18,0.00,0.00,0.00,0.00,0.00,0.08,0.04,,0.00,0.00,0.00,0.02,0.14,0.02,0.01,0.10,0.01,0.00,0.00,0.00,,0.04
chc-lia-nonlin-0081.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,2,1,,,,1,,,,,18.96,7.10,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0082.smt2,,,,,,,,1,,,2,2,,,5,,,,6,13,,9,,6,11,,,,6,,,,,25.28,9.68,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0083.smt2,,,,,,,,1,,,1,1,,,4,,,,3,5,1,5,,5,4,,,,3,4,,,,52.56,20.83,sat,0.08,0.00,0.00,0.00,0.00,0.00,0.03,0.01,,,0.00,0.00,0.00,0.04,0.01,0.00,0.03,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0084.smt2,,,,,,,,2,,,4,4,,,8,,1,,6,17,,13,,6,9,,,,9,,,,,46.36,18.92,sat,0.08,0.00,0.00,0.00,0.00,0.00,0.02,0.00,,0.00,0.00,0.00,0.00,0.05,0.01,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0085.smt2,,47,,42,28,11,,14,9,2,15,15,,47,21,,34,16,32,380,11,116,,62,269,,2,,98,,42,30,,47.64,25.58,sat,0.62,0.06,0.02,0.03,0.01,0.01,0.27,0.11,0.00,0.00,0.00,0.00,0.01,0.59,0.14,,0.39,0.03,0.05,0.04,0.06,0.00,0.01
chc-lia-nonlin-0086.smt2,,4040,,191,162,,,99,65,1,99,99,,3735,104,,174,907,187,20116,26,2532,,413,15921,,,2,2383,,2135,1983,,1222.56,863.46,sat,86.68,3.40,0.96,1.92,0.42,0.54,71.80,30.78,,1.01,0.00,0.00,0.44,86.13,35.98,,49.68,2.01,1.91,1.90,3.20,0.01,0.52
chc-lia-nonlin-0087.smt2,,9544,,276,247,,,,97,1,150,149,,9031,433,,212,2216,,32424,44,5390,,579,22697,,,2,5157,,4794,4604,,463.25,430.06,timeout,596.65,11.16,3.33,6.58,1.45,1.41,548.84,250.94,,3.69,0.00,0.00,1.39,593.29,259.21,,333.36,6.64,5.85,6.87,10.25,0.03,2.27
chc-lia-nonlin-0088.smt2,,,,,,,,1,,,1,1,,,7,,,,6,12,,8,,7,11,,,,6,2,,,,24.60,9.23,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0089.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72,4.21,sat,0.00,,,,,,,,,,0.00,,,,,,,,,,,,
chc-lia-nonlin-0090.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,,4,,3,2,,,,2,1,,,,20.36,8.17,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0091.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,
chc-lia-nonlin-0092.smt2,,,,,,,,3,,,4,4,,,5,,2,,2,7,,9,,2,1,,,,4,,,,,23.60,10.19,sat,0.06,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.00,,0.03,0.00,0.00,0.01,0.00,,
chc-lia-nonlin-0093.smt2,,,,,,,,,,,1,1,,,3,,,,3,2,1,4,,3,2,,,,2,5,,,,26.56,9.99,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0094.smt2,,9,,78,,50,48,8,9,3,17,17,1,9,54,8,120,8,134,1185,7,260,,162,680,30,1,3,248,265,21,9,,403.60,233.60,sat,5.02,0.48,0.15,0.21,0.13,0.10,3.48,1.47,0.45,0.03,0.00,0.00,0.12,4.84,1.37,0.01,3.39,0.21,0.21,0.97,0.11,0.00,0.11
chc-lia-nonlin-0095.smt2,3,,,,,,,,,,3,3,,,4,,2,,,6,,6,,3,,3,,,5,1,,,,28.48,7.28,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0096.smt2,,,,,,,,1,,,5,5,,,13,,12,,15,54,,35,,13,22,,,,29,,,,,47.16,19.13,sat,0.15,0.01,0.00,0.00,0.00,0.00,0.06,0.02,,0.00,0.00,0.00,0.01,0.12,0.02,,0.08,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0097.smt2,,,,,,,,,,,5,4,,,13,,10,,4,42,,22,,10,20,,,,17,1,,,,4356.98,4292.78,timeout,599.32,0.00,0.00,0.00,0.00,0.00,0.04,0.01,,0.00,0.01,0.00,0.00,0.07,0.02,,0.04,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0098.smt2,1,,,,,,,,,,1,1,,,1,,,,,,,1,,1,,1,,,,1,,,,26.92,6.54,unsat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0099.smt2,,,,,,,,1,,,3,3,,,6,,2,,5,11,1,11,,6,6,,,,7,,,,,20.64,8.47,sat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0100.smt2,3,,,,,,,,,,3,3,,,5,,1,,,7,,7,,4,,3,,,6,1,,,,32.68,8.35,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0101.smt2,,,,,,,,1,,,2,2,,,5,,,,4,7,1,8,,5,4,,,,5,,,,,19.44,7.59,sat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0102.smt2,,,,,,,,3,3,1,5,5,,,14,,6,3,12,68,,31,,16,41,1,,,22,7,5,3,,52.16,25.40,sat,0.23,0.02,0.01,0.01,0.00,0.01,0.11,0.06,,0.00,0.00,0.00,0.01,0.20,0.03,0.00,0.15,0.01,0.01,0.04,0.00,0.00,
chc-lia-nonlin-0103.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,2,,2,,,2,1,,,,27.76,7.00,unsat,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0104.smt2,3,,,,,,,,,,3,3,,,5,,2,,1,11,,8,,6,5,3,,,7,1,,,,29.20,7.78,unsat,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0105.smt2,,,,,,,,4,,,5,5,,,12,,3,,10,50,,20,,9,34,,,,15,2,,,,42.72,17.62,sat,0.09,0.00,0.00,0.00,0.00,0.00,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.02,,0.03,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0106.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,2,1,,,,1,,,,,18.92,7.10,sat,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0107.smt2,6,5,,25,9,15,,,1,,6,6,,,12,,17,,1,44,,30,,23,10,6,,,25,1,,,,34.36,11.06,unsat,0.14,0.01,0.00,0.00,0.00,0.00,0.04,0.02,,0.00,0.00,0.00,0.00,0.12,0.01,,0.09,0.01,0.01,0.01,0.01,,0.01
